Name,Team,Position,Status,Age,PitchingTeamId,OriginalSalary,AdjustedSalary,AuctionSalary,W,QS,ERA,WHIP,G,SV,HLD,SVH,IP,SO,K/9,BB/9,BABIP,FIP
Kevin Kelly,TB,RP,FA,27,,-4.547874667,-5.779917854,,3,0,3.63641,1.18231,53,0,5,5,53,47,8.03265,2.21506,0.294965,3.67715
Ryan Fernandez,STL,P,FA,26,,-3.221058228,-4.158448913,,4,0,3.76201,1.29894,65,1,16,17,65,64,8.86101,3.51051,0.293281,3.80402
Chris Paddack,MIN,SP,FA,29,,-13.10785806,-16.2408579,,7,7,4.22043,1.27089,55,0,1,1,124,115,8.31316,2.26953,0.302102,3.9498
Keider Montero,DET,SP,FA,24,,-17.53378504,-21.64967175,,2,1,4.32865,1.3165,20,0,1,1,34,29,7.68917,3.08371,0.287394,4.42895
Carlos Estevez,KC,RP,FA,32,,3.770521686,4.38578475,,5,0,3.8651,1.24002,64,21,6,27,64,63,8.80177,3.14041,0.287611,3.80782
David Robertson,(N/A),RP,FA,39,,-3.198342169,-4.130688189,,4,0,3.49063,1.21752,57,0,0,0,57,70,11.0243,3.68972,0.293145,3.40605
Bubba Chandler,PIT,SP,FA,22,,-24.10447025,-29.6795406,,4,7,4.50684,1.39376,15,0,0,0,75,65,7.78752,3.65135,0.294282,4.54436
Erik Miller,SF,SP,FA,27,,-2.39465903,-3.148527274,,4,0,3.47975,1.3096,61,1,12,13,61,76,11.189,4.77612,0.290077,3.51522
Aaron Ashby,MIL,SP,FA,26,,-16.64962784,-20.5691655,,4,2,4.03819,1.4329,42,0,1,1,64,63,8.83054,4.61417,0.298327,4.15427
Sean Hjelle,SF,RP,FA,27,,-7.470877448,-9.352045908,,3,0,3.87012,1.29709,66,0,13,13,66,55,7.50491,2.5026,0.304045,3.83925
Michael Kopech,LAD,RP,FA,28,,-6.804484827,-8.537664275,,3,0,4.13618,1.28746,53,3,10,13,53,62,10.5628,4.2591,0.278897,4.2984
Johan Oviedo,PIT,SP,FA,27,,-19.87768734,-24.51409569,,4,4,4.31159,1.36424,32,0,1,1,76,68,8.03363,3.64133,0.294825,4.33322
Ben Brown,CHC,SP,FA,25,,-6.062837578,-7.631315859,,3,1,3.59411,1.20666,31,0,1,1,45,50,10.0603,3.378,0.284908,3.58409
Blake Treinen,LAD,RP,FA,36,,8.035484614,9.59788849,,5,0,3.33747,1.15588,59,6,14,20,59,64,9.69822,2.79242,0.291076,3.37235
Mike Clevinger,CHW,SP,FA,34,,-15.9481875,-19.71195294,,2,0,4.61813,1.31213,44,6,0,6,44,39,7.88521,2.88599,0.289417,4.66995
Reed Garrett,NYM,RP,FA,32,,0.974866306,0.969284746,,6,0,3.57615,1.29177,66,0,15,15,66,77,10.5638,4.05356,0.290947,3.58788
Michael Tonkin,MIN,RP,FA,35,,-9.325213654,-11.61818347,,3,0,4.18248,1.292,63,0,12,12,63,62,8.89156,3.28568,0.296199,4.10869
Alex Vesia,LAD,RP,FA,28,,2.40350708,2.715190641,,4,0,3.53336,1.19513,58,0,14,14,58,74,11.4191,3.90453,0.277471,3.69532
Jose Alvarado,PHI,RP,FA,29,,0.604579121,0.516766106,,4,0,3.31416,1.25836,60,3,10,13,60,69,10.4142,4.01794,0.293422,3.35961
Garrett Whitlock,BOS,SP,FA,28,,2.968153494,3.405230798,,4,0,3.62388,1.17196,67,2,16,18,67,67,9.06572,2.10592,0.299518,3.4972
Pierce Johnson,ATL,RP,FA,33,,-1.114770284,-1.584407483,,5,0,3.60084,1.2884,64,2,12,14,64,78,10.95,3.7662,0.302495,3.57888
Tim Herrin,CLE,RP,FA,28,,0.656834514,0.580626105,,4,0,3.39659,1.26473,62,0,14,14,62,66,9.58284,3.69474,0.292406,3.56175
Griffin Canning,NYM,SP,FA,28,,-22.03700735,-27.15294627,,5,4,4.59089,1.32642,46,0,1,1,98,88,8.04746,3.12621,0.287271,4.59791
JoJo Romero,STL,RP,FA,28,,-0.919256126,-1.345474556,,4,0,3.52594,1.24196,61,1,13,14,61,60,8.88945,3.0307,0.294063,3.72099
Ross Stripling,KC,SP,FA,35,,1,1,,2,1,4.70077,1.34919,28,0,1,1,35,24,6.29641,2.16218,0.302314,4.40539
Trent Thornton,SEA,RP,FA,31,,-2.375339554,-3.124917428,,3,0,3.73329,1.21636,67,0,14,14,67,66,8.83937,2.69382,0.286831,3.94516
Dylan Lee,ATL,RP,FA,30,,4.564750504,5.356391778,,4,0,3.31879,1.15639,62,0,13,13,62,71,10.3636,2.58994,0.294059,3.37168
Nate Pearson,CHC,RP,FA,28,,-9.485614611,-11.81420543,,2,0,3.9748,1.2684,54,0,7,7,54,59,9.87171,3.55646,0.288305,4.0034
A.J. Minter,NYM,RP,FA,31,,4.631559697,5.438037609,,5,0,3.36925,1.16133,54,2,11,13,54,60,10.0447,2.9807,0.285148,3.48759
Spencer Turnbull,(N/A),RP,FA,32,,-16.63240696,-20.54812031,,3,5,4.3029,1.32019,11,0,0,0,63,57,8.19343,3.29367,0.294963,4.22403
Joe Mantiply,ARI,RP,FA,34,,-4.565822572,-5.801851536,,4,0,3.59419,1.27458,59,0,11,11,59,51,7.776,2.66833,0.301875,3.57313
Tayler Scott,HOU,RP,FA,32,,-6.174048629,-7.767224082,,4,0,3.933,1.33694,65,1,16,17,65,65,9.02952,3.90495,0.292077,4.11508
Jared Shuster,CHW,SP,FA,26,,-20.34411816,-25.08410905,,2,0,4.63408,1.41759,40,0,1,1,40,31,6.88359,3.49613,0.291991,4.69949
Matthew Liberatore,STL,SP,FA,25,,-6.641106204,-8.338003377,,5,2,3.96708,1.30017,65,2,12,14,85,78,8.30443,3.25575,0.291262,4.08453
Aaron Bummer,ATL,RP,FA,31,,5.200479329,6.133299958,,5,0,3.0264,1.25598,61,1,14,15,61,71,10.4223,3.60014,0.308664,2.91227
John Schreiber,KC,RP,FA,31,,-7.100693816,-8.899653819,,4,0,3.88197,1.33135,61,1,12,13,61,56,8.30355,3.57308,0.297607,3.83228
Tony Gonsolin,LAD,SP,FA,30,,-17.76104539,-21.92740089,,6,6,4.48605,1.28155,39,0,1,1,99,86,7.79528,3.02727,0.281153,4.59528
Tanner Banks,PHI,RP,FA,33,,-4.398491297,-5.597360201,,3,0,3.725,1.23888,68,0,12,12,68,67,8.90516,2.85462,0.294019,3.70413
Josh Winckowski,BOS,RP,FA,26,,-11.30636389,-14.03929725,,3,0,3.99566,1.32803,55,0,7,7,55,46,7.60096,2.7941,0.305096,3.91631
Robert Garcia,TEX,P,FA,28,,4.963518218,5.843715755,,5,0,3.46439,1.19644,64,8,10,18,64,74,10.4552,3.22986,0.291169,3.35545
John King,STL,RP,FA,30,,-8.467129434,-10.56954036,,3,0,3.65618,1.32396,59,0,12,12,59,40,6.06366,2.46462,0.301925,3.84585
Bryan Hudson,MIL,RP,FA,27,,-0.071072563,-0.308930794,,3,0,3.51999,1.19913,60,1,11,12,60,65,9.74437,3.26861,0.283567,3.6798
Anthony DeSclafani,(N/A),SP,FA,34,,-19.32516264,-23.83886918,,3,5,4.632,1.34778,10,0,0,0,54,42,7.01277,2.49724,0.297555,4.61691
Brent Suter,CIN,RP,FA,35,,-16.32031322,-20.1667184,,3,0,4.42377,1.36733,63,0,11,11,63,49,7.02463,2.78114,0.300836,4.50109
Hoby Milner,TEX,RP,FA,34,,-6.145166741,-7.731928254,,3,0,3.91768,1.23111,58,0,11,11,58,53,8.18652,2.41131,0.295287,3.77869
Dane Dunning,TEX,SP,FA,30,,-14.48942869,-17.92924055,,4,1,4.31627,1.31356,56,0,7,7,71,64,8.18331,3.00255,0.295555,4.19882
Justin Slaten,BOS,P,FA,27,,-6.74222627,-8.461579661,,4,0,3.91814,1.30725,64,0,13,13,64,67,9.42401,3.32039,0.302449,3.82872
Jose Butto,NYM,RP,FA,26,,-1.715688701,-2.318774741,,3,0,3.69656,1.24186,63,1,16,17,63,67,9.51854,3.57744,0.281421,3.88504
Chris Martin,TEX,RP,FA,38,,9.087714923,10.88379264,,4,0,3.37254,1.11841,58,20,6,26,58,58,9.01629,1.64424,0.300102,3.17344
Phil Maton,(N/A),RP,FA,31,,-13.62186355,-16.86901106,,3,0,4.2375,1.29652,56,0,0,0,56,54,8.66626,3.41188,0.289064,4.30822
Colin Holderman,PIT,RP,FA,29,,-5.306369963,-6.706855845,,4,0,3.89103,1.30533,62,3,13,16,62,63,9.07412,3.72917,0.294911,3.84689
Kyle Finnegan,WSH,RP,FA,33,,-1.722741129,-2.327393335,,4,0,3.96785,1.3037,64,22,6,28,64,61,8.60004,3.34695,0.292392,4.07689
Antonio Senzatela,COL,SP,FA,30,,-50.06594781,-61.40640823,,6,8,5.06598,1.46903,42,0,1,1,135,85,5.6569,2.60992,0.311312,4.68965
Evan Phillips,LAD,RP,FA,30,,-2.521158179,-3.303118696,,3,0,3.31426,1.12907,50,0,7,7,50,56,10.0877,2.83142,0.285415,3.31804
Shawn Armstrong,TEX,RP,FA,34,,-9.178320109,-11.43866857,,3,0,4.19719,1.28547,61,1,12,13,61,59,8.67607,2.87755,0.296966,4.03292
Garrett Cleavinger,TB,RP,FA,30,,-1.664646255,-2.256397054,,5,0,3.8616,1.29032,63,3,15,18,63,74,10.5963,4.09652,0.292458,3.88635
Victor Vodnik,COL,RP,FA,25,,-19.68047538,-24.27308793,,3,0,4.4369,1.46342,66,3,11,14,66,63,8.59205,4.33082,0.307671,4.25808
Cionel Perez,BAL,RP,FA,28,,-12.55093388,-15.56025488,,2,0,3.72007,1.37493,56,0,7,7,56,50,8.10118,4.07486,0.297422,3.86909
Buck Farmer,ATL,RP,FA,34,,-18.09032022,-22.32979937,,2,0,4.49446,1.36774,46,0,1,1,46,45,8.81387,3.84245,0.292556,4.41322
Yimi Garcia,TOR,RP,FA,34,,4.014874533,4.684402208,,4,0,3.60038,1.17349,61,3,14,17,61,67,9.86636,2.82697,0.286837,3.70427
Tyson Miller,CHC,RP,FA,29,,-5.774366661,-7.278782819,,3,0,3.97381,1.24795,62,1,12,13,62,57,8.24704,2.91941,0.285772,4.08802
Jose Leclerc,ATH,RP,FA,31,,-3.721433966,-4.769945495,,4,0,3.90274,1.28863,64,3,13,16,64,74,10.4517,4.27115,0.284165,3.90436
Jake Cousins,NYY,RP,FA,30,,-8.30707171,-10.37393785,,3,0,3.92502,1.27913,54,0,7,7,54,64,10.7365,4.27455,0.286426,4.13231
Declan Cronin,MIA,RP,FA,27,,-11.88200689,-14.74277606,,3,0,3.94441,1.37662,67,1,13,14,67,58,7.75899,3.45219,0.305987,3.91542
Seranthony Dominguez,BAL,RP,FA,30,,-1.543953955,-2.108902034,,4,0,3.70567,1.24705,62,3,12,15,62,68,9.80986,3.54778,0.290321,3.75701
Yuki Matsui,SD,RP,FA,29,,-4.132216965,-5.271953048,,3,0,3.60124,1.25628,58,0,11,11,58,67,10.4094,3.98975,0.282786,3.80109
Tyler Ferguson,ATH,P,FA,31,,-8.985868891,-11.20347878,,3,0,4.13539,1.34434,62,1,15,16,62,64,9.27988,4.25971,0.287954,4.27499
Hunter Strickland,(N/A),RP,FA,36,,1,1,,1,0,4.69712,1.40675,35,0,0,0,35,29,7.51537,3.80698,0.288091,4.91402
Beau Brieske,DET,RP,FA,26,,-4.734743146,-6.008285114,,3,0,4.02021,1.27481,66,10,10,20,66,62,8.51666,3.27195,0.284033,4.0747
Dennis Santana,PIT,RP,FA,28,,-8.782445182,-10.95487979,,3,0,3.9671,1.31714,66,2,12,14,66,63,8.60815,3.61718,0.295751,3.86627
Gregory Soto,BAL,RP,FA,30,,-1.722269297,-2.326816722,,4,0,3.49463,1.26819,59,0,10,10,59,67,10.2843,3.86317,0.297331,3.45783
Jorge Lopez,WSH,RP,FA,32,,-9.950699079,-12.38257345,,3,0,4.14318,1.34209,60,7,12,19,60,53,7.88376,3.25878,0.298561,4.20756
Hector Neris,ATL,RP,FA,35,,-6.241022827,-7.849071562,,5,0,4.02116,1.31099,56,0,10,10,56,59,9.52042,3.73804,0.291441,4.2412
Lance McCullers Jr.,HOU,SP,FA,31,,-8.354808828,-10.43227618,,5,5,3.68976,1.29789,39,0,1,1,92,90,8.83826,3.56985,0.293527,3.88596
Ryan Yarbrough,TOR,RP,FA,33,,1,1,,1,0,4.34528,1.27945,26,0,1,1,26,19,6.67786,2.41164,0.285583,4.61666
Bryce Elder,ATL,SP,FA,25,,-14.3705762,-17.78399392,,3,3,4.19115,1.34757,16,0,1,1,46,39,7.53646,3.00546,0.302263,4.07869
Tyler Kinley,COL,RP,FA,34,,-13.99701901,-17.32747909,,3,0,4.72233,1.39586,64,18,6,24,64,67,9.41595,3.84981,0.303386,4.48327
Adrian Morejon,SD,RP,FA,26,,-2.202304824,-2.913456044,,3,0,3.54386,1.23542,61,1,12,13,61,65,9.5258,3.17214,0.289379,3.64534
Hunter Harvey,KC,RP,FA,30,,0.010828262,-0.208841859,,3,0,3.53348,1.20148,60,2,14,16,60,62,9.32816,2.8182,0.296908,3.44418
Greg Weissert,BOS,RP,FA,30,,-10.32639198,-12.84169828,,3,0,4.02737,1.33646,60,0,12,12,60,58,8.72323,3.42081,0.303064,3.93987
T.J. McFarland,ATH,RP,FA,35,,-14.96319778,-18.50822182,,3,0,4.1607,1.38983,58,0,10,10,58,41,6.42279,3.13523,0.300768,4.29224
Joey Cantillo,CLE,SP,FA,25,,-14.36604241,-17.77845328,,6,7,4.05854,1.35745,33,0,1,1,98,99,9.14553,4.11824,0.288842,4.26065
Bryse Wilson,CHW,RP,FA,27,,-32.11197787,-39.46531391,,4,4,4.88575,1.37801,39,0,1,1,100,72,6.49011,2.84016,0.290411,4.9751
Jhony Brito,SD,SP,FA,27,,-13.95492692,-17.2760394,,3,1,4.16637,1.30257,40,0,1,1,47,36,6.87202,2.7268,0.288414,4.30469
Shane Bieber,CLE,SP,FA,29,,-1.857202746,-2.49171549,,6,8,3.61603,1.20661,25,0,1,1,96,93,8.67848,2.29314,0.29785,3.60588
Ian Hamilton,NYY,RP,FA,29,,-0.410823673,-0.724132066,,3,0,3.46018,1.24929,60,1,15,16,60,66,9.94607,3.62046,0.28929,3.53824
Taylor Rogers,CIN,RP,FA,34,,-9.975359158,-12.41270991,,3,0,4.33249,1.33089,62,3,13,16,62,71,10.294,3.66442,0.302183,4.22476
Dylan Floro,ATH,RP,FA,34,,-12.33859118,-15.30075623,,3,0,3.7896,1.32315,48,0,1,1,48,37,6.84921,2.76681,0.300007,3.76937
Liam Hendriks,BOS,RP,FA,36,,4.562180072,5.353250518,,4,0,3.88399,1.22476,61,23,6,29,61,70,10.3232,2.8571,0.301096,3.77066
Nick Mears,MIL,RP,FA,28,,-4.57893876,-5.817880499,,3,0,3.73233,1.28235,59,0,11,11,59,73,11.1104,4.20218,0.288888,3.59824
Ryan Brasier,CHC,RP,FA,37,,-0.307716425,-0.598127296,,3,0,3.62419,1.193,58,2,13,15,58,55,8.48244,2.62372,0.292041,3.66805
Erik Swanson,TOR,RP,FA,31,,-7.951851659,-9.939832374,,3,0,3.99597,1.2786,60,0,13,13,60,59,8.84733,3.11731,0.288324,4.15229
Ben Joyce,LAA,RP,FA,24,,0.726314215,0.665535498,,3,0,3.47137,1.24134,62,7,10,17,62,75,10.8404,4.05031,0.290714,3.58446
Justin Wrobleski,LAD,SP,FA,24,,1,1,,2,0,4.37924,1.32404,36,0,1,1,36,32,8.03763,3.11859,0.289048,4.47486
Jalen Beeks,(N/A),RP,FA,31,,-13.95679686,-17.27832461,,2,0,3.9601,1.36555,37,0,0,0,37,33,8.05851,3.49126,0.300209,4.04
Craig Kimbrel,(N/A),RP,FA,36,,-9.37638914,-11.68072374,,3,0,3.9312,1.28811,40,0,0,0,40,49,10.9139,4.2977,0.289891,3.95812
Bryan Hoeing,SD,RP,FA,28,,-11.63655961,-14.44282113,,3,0,4.17959,1.29106,56,0,9,9,56,45,7.16481,2.65543,0.290405,4.20854
Andrew Nardi,MIA,RP,FA,26,,-1.52953883,-2.091285673,,3,0,3.61531,1.23086,50,0,4,4,50,62,11.1612,3.591,0.294384,3.65646
Chris Stratton,KC,RP,FA,34,,-19.24540103,-23.74139452,,3,0,4.53829,1.43431,54,0,7,7,54,44,7.38262,3.93288,0.296281,4.467
Jakob Junis,CLE,SP,FA,32,,-9.660175105,-12.02753142,,3,1,4.21253,1.22227,62,0,11,11,70,65,8.42796,2.0812,0.297905,4.01451
Anthony Bender,MIA,RP,FA,30,,-3.209146497,-4.143891887,,3,0,3.67597,1.26335,60,5,12,17,60,63,9.43524,3.28145,0.30222,3.52946
Adam Ottavino,BOS,RP,FA,39,,-14.5073244,-17.95111045,,2,0,4.18991,1.32745,44,0,1,1,44,45,9.26117,3.8434,0.298923,4.06588
DL Hall,MIL,RP,FA,26,,-14.48540452,-17.92432272,,2,1,3.97263,1.3373,31,0,1,1,43,46,9.61375,4.02063,0.291484,4.07598
Ryan Burr,TOR,RP,FA,30,,-5.236838186,-6.621882812,,3,0,3.55524,1.22346,50,0,4,4,50,56,10.0083,3.10023,0.291742,3.65591
Justin Anderson,CHW,RP,FA,32,,-14.19157593,-17.5652422,,3,0,4.38434,1.4094,63,7,11,18,63,65,9.24359,4.23034,0.297229,4.42979
Anthony Banda,LAD,RP,FA,31,,-9.992682033,-12.43387976,,3,0,4.07468,1.33525,57,0,13,13,57,56,8.83643,3.4995,0.294524,4.18083
Jacob Barnes,TOR,RP,FA,34,,1,1,,1,0,4.60256,1.37874,24,0,1,1,24,20,7.51697,3.17297,0.295899,4.54931
Scott Barlow,CIN,RP,FA,32,,-9.094582422,-11.33633485,,3,0,3.87334,1.31246,58,0,7,7,58,65,10.1129,3.97998,0.294358,3.938
Matt Brash,SEA,RP,FA,26,,-1.731506926,-2.338105795,,3,0,3.01453,1.20397,48,0,1,1,48,62,11.614,3.89494,0.292326,3.13253
Manuel Rodriguez,TB,RP,FA,28,,-4.902730979,-6.213578812,,4,0,3.81119,1.2972,61,2,13,15,61,58,8.60927,3.39285,0.297735,3.88931
Jared Koenig,MIL,RP,FA,31,,-4.284358041,-5.457880824,,4,0,3.75736,1.27139,62,2,11,13,62,60,8.7341,3.19235,0.290818,3.89064
Trevor Richards,CHC,RP,FA,31,,1,1,,1,0,4.24096,1.31681,26,0,1,1,26,28,9.76832,4.07205,0.284624,4.23761
Edwin Uceta,TB,RP,FA,27,,-2.147240248,-2.846163013,,3,0,3.91333,1.24312,65,9,11,20,65,70,9.70622,3.4656,0.284697,3.91405
Elvis Peguero,MIL,RP,FA,27,,-8.664047129,-10.81018851,,4,0,3.85241,1.3354,56,0,9,9,56,53,8.4634,3.69913,0.294765,3.86961
Michael Grove,LAD,SP,FA,28,,-8.029163343,-10.03431303,,3,0,3.96864,1.23322,44,0,1,1,44,46,9.50051,2.84823,0.293953,3.8446
Luis Garcia,LAD,RP,FA,38,,-3.932631434,-5.057492622,3,9,9,4.00505,1.24176,33,0,1,1,121,119,8.88575,2.84378,0.287675,4.04935
Paul Sewald,CLE,RP,FA,34,,-1.135799457,-1.610106705,,3,0,3.84427,1.18175,59,1,12,13,59,66,10.0448,2.96737,0.282401,3.9958
Cade Cavalli,WSH,SP,FA,26,,-15.98344947,-19.7550457,,5,6,4.22882,1.33653,28,0,1,1,82,78,8.51752,3.65719,0.290855,4.24319
Nick Sandlin,TOR,RP,FA,28,,-6.008042276,-7.564351901,,4,0,3.98317,1.27656,59,0,12,12,59,63,9.58688,3.90223,0.280573,4.26263
Triston McKenzie,CLE,SP,FA,27,,-37.08256836,-45.53974732,,6,7,4.78925,1.45642,42,0,1,1,117,110,8.45527,4.41654,0.286039,5.08666
Seth Halvorsen,COL,RP,FA,25,,-16.72882846,-20.66595459,,4,0,4.67179,1.42315,63,9,8,17,63,58,8.26342,3.817,0.303411,4.52916
Drew Smyly,(N/A),RP,FA,35,,-14.76654471,-18.26789705,,2,0,4.20695,1.29837,38,0,0,0,38,36,8.59668,3.0231,0.290708,4.34162
Trevor Stephan,CLE,RP,FA,29,,-10.63194004,-13.21510086,,2,0,3.84966,1.26661,36,0,1,1,36,38,9.47045,3.27281,0.293899,3.89465
Trevor Rogers,BAL,SP,FA,27,,-17.51777423,-21.63010534,,3,2,4.24766,1.36316,27,0,1,1,54,47,7.726,3.2878,0.297592,4.24752
Dustin May,LAD,SP,FA,27,,-0.354483661,-0.655280356,,4,2,3.57347,1.17811,52,0,4,4,73,77,9.48338,2.94618,0.291481,3.64689
Osvaldo Bido,ATH,SP,FA,29,,-19.85012067,-24.48040716,,7,6,4.39875,1.3346,42,0,1,1,112,103,8.24071,3.66552,0.285727,4.4979
Huascar Brazoban,NYM,RP,FA,35,,-14.5073244,-17.95111045,,3,0,4.01908,1.34713,51,0,7,7,51,52,9.20081,4.26988,0.289725,4.00558
Tristan Beck,SF,SP,FA,28,,-11.43698234,-14.19892277,,3,1,3.98628,1.27359,48,0,1,1,55,48,7.76073,2.58579,0.293165,4.02954
Michael Fulmer,BOS,RP,FA,31,,-16.60454288,-20.51406832,,3,0,4.33768,1.37611,50,0,1,1,50,49,8.85869,3.87309,0.299744,4.13503
Alex Faedo,TB,SP,FA,29,,-10.67917911,-13.27283054,,3,0,4.21936,1.29537,57,0,11,11,57,55,8.75209,3.32719,0.287178,4.24506
Jordan Romano,PHI,RP,FA,31,,4.051976242,4.729743272,,5,0,3.83201,1.23887,59,23,4,27,59,64,9.80506,3.33121,0.288812,3.88213
Jorge Alcala,MIN,RP,FA,29,,-6.314665258,-7.939068121,,3,0,4.01867,1.25721,60,1,12,13,60,63,9.50992,3.48264,0.28869,4.05081
Kyle Wright,KC,SP,FA,29,,-16.96191428,-20.9508029,,6,5,4.24177,1.33102,35,0,1,1,94,78,7.47264,3.02583,0.299166,4.17662
Matt Manning,DET,SP,FA,27,,1,1,,2,1,4.14441,1.27954,28,0,1,1,35,29,7.45608,2.83946,0.285225,4.22636
Colin Poche,WSH,RP,FA,31,,-10.64633522,-13.23269285,,3,0,4.25243,1.29498,56,0,9,9,56,50,8.07434,3.38793,0.280192,4.47153
Andrew Chafin,DET,RP,FA,34,,-11.04924219,-13.7250753,,3,0,3.92017,1.33755,55,0,6,6,55,60,9.8791,4.21766,0.290035,3.95179
Ryne Stanek,NYM,RP,FA,33,,-5.148132654,-6.513478016,,4,0,3.84112,1.2892,58,0,12,12,58,66,10.1869,4.11735,0.284872,3.99891
Tim Hill,NYY,RP,FA,35,,-17.27030748,-21.32768245,,3,0,4.23723,1.39502,63,0,12,12,63,36,5.13818,2.74681,0.299188,4.31256
Eli Morgan,CHC,RP,FA,28,,-12.55512953,-15.56538228,,2,0,4.05183,1.22346,50,0,1,1,50,47,8.47131,2.63121,0.284621,4.1372
Jack Leiter,TEX,SP,FA,24,,-27.87997552,-34.29349046,,6,7,4.77849,1.37374,39,0,1,1,112,113,9.05585,3.98113,0.285757,4.68733
Adam Mazur,MIA,SP,FA,23,,1,1,,2,3,4.7298,1.38111,6,0,0,0,33,25,6.83456,2.80765,0.295958,4.65711
Enyel De Los Santos,ATL,RP,FA,29,,1,1,,1,0,3.98723,1.27365,21,0,1,1,21,22,9.22322,3.29936,0.291969,4.19209
Kyle Nicolas,PIT,SP,FA,26,,-17.64112855,-21.78085355,,2,0,4.29932,1.41659,44,0,1,1,44,44,8.96184,4.39438,0.296886,4.36309
Jose Ruiz,PHI,RP,FA,30,,-12.61191899,-15.63478325,,3,0,4.27424,1.33133,62,0,10,10,62,61,8.87737,3.56728,0.292451,4.25817
Roansy Contreras,BAL,RP,FA,25,,1,1,,2,0,4.38598,1.30669,33,0,1,1,33,31,8.35639,3.32416,0.284524,4.38233
Dedniel Nunez,NYM,RP,FA,28,,-4.10077661,-5.233530583,,3,0,3.48721,1.21095,49,0,4,4,49,55,10.1742,3.30199,0.288279,3.46259
Jordan Leasure,CHW,RP,FA,26,,-18.64362043,-23.00597362,,3,0,4.61593,1.41824,62,0,10,10,62,60,8.69399,4.2761,0.291943,4.66536
Xzavion Curry,MIA,SP,FA,26,,1,1,,0,0,4.73863,1.3442,8,0,1,1,8,6,6.81214,2.64783,0.290067,4.80109
Jesse Chavez,TEX,RP,FA,41,,1,1,,1,0,4.22734,1.32955,26,0,1,1,26,24,8.14338,3.05135,0.296276,4.24784
Calvin Faucher,MIA,RP,FA,29,,-4.597423542,-5.840470286,,3,0,3.91425,1.38532,63,22,6,28,63,66,9.41335,4.05668,0.303659,3.86182
Randy Rodriguez,SF,SP,FA,25,,-12.94140764,-16.03744302,,3,0,4.05229,1.36835,53,0,7,7,53,54,9.11782,4.2484,0.29097,4.15959
Jacob Webb,TEX,RP,FA,31,,-9.568555235,-11.91556508,,3,0,4.25986,1.32699,62,2,14,16,62,63,9.18089,3.94581,0.286373,4.16848
Kenta Maeda,DET,SP,FA,36,,-14.97402771,-18.5214568,,4,3,4.48876,1.27499,54,0,1,1,89,80,8.13873,2.58703,0.289931,4.33765
Shelby Miller,ARI,RP,FA,34,,-11.00996774,-13.67707899,,4,0,4.33318,1.2782,56,0,10,10,56,53,8.44232,3.38862,0.285561,4.2483
Ian Seymour,TB,SP,FA,26,,1,1,,2,1,4.37967,1.31292,18,0,1,1,32,29,8.04229,3.10787,0.288282,4.53055
