Name,OriginalSalary,AdjustedSalary,AuctionSalary
Tarik Skubal ,61.05226852,70.28755811,7
Chris Sale ,44.77724144,52.28630353,18.5
Paul Skenes ,40.11508505,47.02719336,19
Jacob deGrom ,39.97073879,46.86362185,13
Zack Wheeler ,36.82090792,43.28307677,21
Garrett Crochet ,36.6039118,43.03561741,3
Logan Gilbert ,32.71222033,38.58015997,13
Yoshinobu Yamamoto ,28.84909719,35.03368003,
George Kirby ,28.17954462,33.34890134,14
Mason Miller ,26.52566377,31.42876915,8.5
Edwin Diaz,25.53655081,30.27750242,20.5
Tyler Glasnow ,25.33122973,30.03824655,15.5
Emmanuel Clase ,25.15546277,29.83335428,13
Sonny Gray ,23.83211135,28.28848897,13.5
Corbin Burnes ,23.66930345,28.0981566,19
Shane McClanahan ,23.61150694,28.03057458,16
Ryan Helsley ,23.52582019,27.93036637,9
Josh Hader ,23.51032771,28.50930435,
Jhoan Duran ,23.44827774,28.43347465,
Spencer Strider ,22.77856632,27.6150372,
Felix Bautista ,22.53026222,26.76487483,3
Andres Munoz ,22.37885316,27.12655782,
Dylan Cease ,22.3517821,26.55569282,13
Logan Webb ,21.46106263,25.51067483,27.5
Roki Sasaki ,21.07592279,25.53427943,
Ryan Walker ,18.77278752,22.34577872,3
Shota Imanaga ,18.37546594,21.87661499,18
Devin Williams ,18.33029201,21.82325001,9.5
Jeff Hoffman ,18.11727436,21.5715445,3
Raisel Iglesias ,17.82847368,21.56565369,
Pablo Lopez,17.47732168,20.8147393,30
Blake Snell ,17.21366487,20.50266662,25.5
Tanner Scott ,17.08590419,20.35138755,6
Joe Ryan ,16.61353876,19.79174251,14
Luis Castillo ,16.53146013,19.98060611,
Framber Valdez ,15.99295882,19.05571672,19.5
Max Fried ,15.6199346,18.61287209,18
Michael King ,15.37324136,18.31982794,16
Drew Rasmussen ,13.83192789,16.68157577,
Matt Strahm ,13.43513052,16.19665971,
Cole Ragans ,12.86796048,15.33585434,32
Griffin Jax ,12.58509197,15.15784902,
Justin Steele ,12.46263483,14.85171231,6
Cade Smith ,12.19479679,14.68087911,
Brandon Woodruff ,11.77958749,14.03497909,10
Reynaldo Lopez,11.52977174,13.73599765,4.5
Spencer Schwellenbach ,11.40516409,13.71588888,
Aaron Nola ,11.37098509,13.67411959,
A.J. Puk ,11.08559302,13.32534912,
Shohei Ohtani ,11.07250563,13.18836037,46.5
Gerrit Cole ,10.10240659,12.02491724,22.5
Bryan Abreu ,9.914904595,11.79979113,6
Jason Adam ,9.573140041,11.47701845,
Tanner Bibee ,9.568651569,11.38384217,7
Freddy Peralta ,9.472389643,11.26815404,18
Chris Martin ,9.087714923,10.88379264,
Orion Kerkering ,9.085325495,10.80275831,5.5
Hunter Greene ,8.995471081,10.69466935,16.5
Sandy Alcantara ,8.935206393,10.62216424,10
Bryce Miller ,8.854941981,10.52558397,19.5
Robert Suarez ,8.752298644,10.47388886,
Nestor Cortes ,8.463151284,10.05393377,9
Bryan Woo ,8.435830232,10.08714078,
Justin Martinez ,8.253719153,9.864587422,
Trevor Megill ,8.176169791,9.708226753,3
Blake Treinen ,8.035484614,9.59788849,
Zac Gallen ,7.965194713,9.453955602,35
Max Scherzer ,7.64901514,9.072693313,8.5
Tyler Holton ,7.050136478,8.393719358,
Ryan Pressly ,6.963795276,8.288203952,
Jack Flaherty ,6.898280628,8.16648047,3
Jeremiah Estrada ,6.846422498,8.144765636,
Gregory Santos ,6.807428348,8.097111868,
Carlos Rodon,6.592593892,7.797103437,12
Pete Fairbanks ,6.501986836,7.723839491,
Aroldis Chapman ,6.323484775,7.505696621,
Kevin Ginkel ,6.1829077,7.333900919,
Grayson Rodriguez ,5.998349581,7.078413667,13
Bailey Ober ,5.977195303,7.052813861,20
David Bednar ,5.842302464,6.917655841,
Kevin Gausman ,5.841188468,6.916294455,
Camilo Doval ,5.801145105,6.86735847,
Keegan Akin ,5.588416681,6.607388423,
Aaron Bummer ,5.200479329,6.133299958,
Robert Garcia ,4.963518218,5.843715755,
Zach Eflin ,4.953817288,5.813105084,6
A.J. Minter ,4.631559697,5.438037609,
Dylan Lee ,4.564750504,5.356391778,
Liam Hendriks ,4.562180072,5.353250518,
Fernando Cruz ,4.324983643,5.063378739,
Jordan Romano ,4.051976242,4.729743272,
Yimi Garcia,4.014874533,4.684402208,
Carlos Estevez,3.770521686,4.38578475,
Kirby Yates ,3.303721857,3.81532044,
Hunter Brown ,2.972445265,3.405798862,17
Garrett Whitlock ,2.968153494,3.405230798,
Ranger Suarez,2.887898429,3.302868288,3
Kodai Senga ,2.705273749,3.080475523,13
Alex Vesia ,2.40350708,2.715190641,
Brock Stewart ,2.32044135,2.613678106,
Cristopher Sanchez,2.290741888,2.57537909,3
Kenley Jansen ,2.208724062,2.475393624,10.5
Lucas Erceg ,2.10717598,2.35305187,
Brandon Pfaadt ,1.940558946,2.149433391,
Jeffrey Springs ,1.792122682,1.968033173,
Nick Pivetta ,1.400783658,1.489787611,
Cole Sands ,1.365953635,1.447222717,
Matthew Boyd ,1,1,
Reed Garrett ,0.974866306,0.969284746,
Joel Payamps ,0.961326928,0.952738613,
Robbie Ray ,0.752993945,0.698066621,3
Ben Joyce ,0.726314215,0.665535498,
Tim Herrin ,0.656834514,0.580626105,
Jose Alvarado ,0.604579121,0.516766106,
Will Vest ,0.42614821,0.298710185,
Hunter Harvey ,0.010828262,-0.208841859,
Bryan Hudson ,-0.071072563,-0.308930794,
Yennier Cano ,-0.159992298,-0.417597361,
Jason Foley ,-0.19324597,-0.458235836,
Ryan Brasier ,-0.307716425,-0.598127296,
Dustin May ,-0.354483661,-0.655280356,
Ian Hamilton ,-0.410823673,-0.724132066,
Yu Darvish ,-0.595465235,-0.949777867,
Chad Green ,-0.604519804,-0.960843227,
Nathan Eovaldi ,-0.67712244,-1.049569079,
Jared Jones ,-0.888418746,-1.312092137,10
Andrew Kittredge ,-0.907152251,-1.330682716,
JoJo Romero ,-0.919256126,-1.345474556,
Alexis Diaz,-0.968069321,-1.405127932,
Luke Weaver ,-0.969484436,-1.406857308,
Bowden Francis ,-0.980779006,-1.420660119,
Pierce Johnson ,-1.114770284,-1.584407483,
Paul Sewald ,-1.135799457,-1.610106705,
Yusei Kikuchi ,-1.517212334,-2.083872468,3
Andrew Nardi ,-1.52953883,-2.091285673,
Seranthony Dominguez,-1.543953955,-2.108902034,
Garrett Cleavinger ,-1.664646255,-2.256397054,
Jose Butto,-1.715688701,-2.318774741,
Gregory Soto ,-1.722269297,-2.326816722,
Kyle Finnegan ,-1.722741129,-2.327393335,
Matt Brash ,-1.731506926,-2.338105795,
Shane Bieber ,-1.857202746,-2.49171549,
Edwin Uceta ,-2.147240248,-2.846163013,
Adrian Morejon ,-2.202304824,-2.913456044,
Gabe Speier ,-2.257030092,-2.980334415,
Trent Thornton ,-2.375339554,-3.124917428,
Erik Miller ,-2.39465903,-3.148527274,
Evan Phillips ,-2.521158179,-3.303118696,
Kumar Rocker ,-2.768228004,-3.622222643,2
Tyler Rogers ,-2.868274534,-3.727320848,
Clarke Schmidt ,-3.175070551,-4.123329993,4
David Robertson ,-3.198342169,-4.130688189,
Anthony Bender ,-3.209146497,-4.143891887,
Ryan Fernandez ,-3.221058228,-4.158448913,
Ryan Pepiot ,-3.245557578,-4.210189772,19
Clay Holmes ,-3.355525734,-4.322778264,
Hunter Gaddis ,-3.382092637,-4.355245006,
MacKenzie Gore ,-3.393148296,-4.392102175,7
Jose Leclerc,-3.721433966,-4.769945495,
Ryan Thompson ,-3.830141463,-4.902794188,
Mark Leiter Jr. ,-3.870895952,-4.952599222,
Luis Garcia ,-3.932631434,-5.057492622,3
Caleb Thielbar ,-3.977549388,-5.0829377,
Caleb Ferguson ,-4.078563022,-5.206383917,
Dedniel Nunez,-4.10077661,-5.233530583,
Yuki Matsui ,-4.132216965,-5.271953048,
Jared Koenig ,-4.284358041,-5.457880824,
Brock Burke ,-4.355442005,-5.544750746,
Taj Bradley ,-4.379847776,-5.609621836,8
Tanner Banks ,-4.398491297,-5.597360201,
Porter Hodge ,-4.461057635,-5.673820946,
Kevin Kelly ,-4.547874667,-5.779917854,
Joe Mantiply ,-4.565822572,-5.801851536,
Nick Mears ,-4.57893876,-5.817880499,
Calvin Faucher ,-4.597423542,-5.840470286,
Beau Brieske ,-4.734743146,-6.008285114,
Jonathan Loaisiga,-4.823952992,-6.117306219,
Jesus Tinoco ,-4.859731771,-6.161030563,
Manuel Rodriguez ,-4.902730979,-6.213578812,
Danny Coulombe ,-5.057095762,-6.402224124,
Ryne Stanek ,-5.148132654,-6.513478016,
Ryan Burr ,-5.236838186,-6.621882812,
Colin Holderman ,-5.306369963,-6.706855845,
Tanner Houck ,-5.38623225,-6.804453534,
Erik Sabrowski ,-5.479289124,-6.918175995,
Daysbel Hernandez,-5.48361398,-6.923461292,
Eduardo Rodriguez ,-5.684461109,-7.168911508,
Eury Perez,-5.716223306,-7.262418418,8.5
Tyson Miller ,-5.774366661,-7.278782819,
Nick Sandlin ,-6.008042276,-7.564351901,
Ben Brown ,-6.062837578,-7.631315859,
Hoby Milner ,-6.145166741,-7.731928254,
Tayler Scott ,-6.174048629,-7.767224082,
Hector Neris ,-6.241022827,-7.849071562,
Jorge Alcala ,-6.314665258,-7.939068121,
Clayton Kershaw ,-6.335583966,-7.964632348,
Jesus Luzardo ,-6.408667853,-8.053946324,
Nick Martinez ,-6.48428285,-8.146353507,
Matthew Liberatore ,-6.641106204,-8.338003377,
Michel Otanez ,-6.658522101,-8.359286906,
Justin Slaten ,-6.74222627,-8.461579661,
Michael Kopech ,-6.804484827,-8.537664275,
Angel Perdomo ,-6.815385291,-8.550985459,
Eduard Bazardo ,-6.891664711,-8.644204616,
Derek Law ,-6.95062037,-8.716252841,
John Schreiber ,-7.100693816,-8.899653819,
Reese Olson ,-7.162562985,-9.056161612,4
Tommy Kahnle ,-7.379497814,-9.24037316,
Reid Detmers ,-7.42433621,-9.295169035,
Nic Enright ,-7.470119778,-9.351119979,
Sean Hjelle ,-7.470877448,-9.352045908,
Louis Varland ,-7.499690189,-9.387257233,
Nick Lodolo ,-7.768503762,-9.809179556,11.5
Erik Swanson ,-7.951851659,-9.939832374,
Zebby Matthews ,-7.993550494,-9.990791469,
Tayler Saucedo ,-8.017183687,-10.019673,
Michael Grove ,-8.029163343,-10.03431303,
Gavin Williams ,-8.063417755,-10.17600497,8.5
Julian Merryweather ,-8.146740788,-10.17800147,
Jake Cousins ,-8.30707171,-10.37393785,
Seth Lugo ,-8.308833672,-10.48142683,3
Lance McCullers Jr. ,-8.354808828,-10.43227618,
Keegan Thompson ,-8.466976843,-10.56935388,
John King ,-8.467129434,-10.56954036,
John Brebbia ,-8.472710224,-10.5763605,
Craig Yoho ,-8.478782913,-10.58378178,
Jose A. Ferrer ,-8.497130623,-10.60620406,
Cody Bradford ,-8.527146384,-10.64288556,
Angel Zerpa ,-8.602712733,-10.73523329,
Elvis Peguero ,-8.664047129,-10.81018851,
Mason Montgomery ,-8.680037986,-10.82973054,
Kendall Graveman ,-8.750217739,-10.91549545,
Dennis Santana ,-8.782445182,-10.95487979,
Emilio Pagan,-8.788347162,-10.96209245,
Slade Cecconi ,-8.826540146,-11.00876714,
Luke Little ,-8.837950511,-11.02271146,
Tylor Megill ,-8.855931545,-11.04468562,
Tyler Ferguson ,-8.985868891,-11.20347878,
Scott Barlow ,-9.094582422,-11.33633485,
Jose Quijada ,-9.108014812,-11.35275023,
Forrest Whitley ,-9.109091126,-11.35406557,
Shawn Armstrong ,-9.178320109,-11.43866857,
Michael Tonkin ,-9.325213654,-11.61818347,
Yariel Rodriguez,-9.359370778,-11.65992603,
Brady Basso ,-9.372504199,-11.67597605,
Craig Kimbrel ,-9.37638914,-11.68072374,
Danny Young ,-9.426564487,-11.74204177,
Nate Pearson ,-9.485614611,-11.81420543,
Jacob Webb ,-9.568555235,-11.91556508,
David Festa ,-9.596666209,-11.9499188,
Sean Manaea ,-9.641439998,-12.14247151,3
Jakob Junis ,-9.660175105,-12.02753142,
Josh Sborz ,-9.843025795,-12.25098864,
Brant Hurter ,-9.865968522,-12.27902637,
Sam Moll ,-9.872596206,-12.28712589,
Landen Roupp ,-9.925038872,-12.35121475,
Jorge Lopez,-9.950699079,-12.38257345,
Taylor Rogers ,-9.975359158,-12.41270991,
Anthony Banda ,-9.992682033,-12.43387976,
Bobby Miller ,-10.09786777,-12.5624246,
Carmen Mlodzinski ,-10.17940486,-12.66206902,
Andrew Walters ,-10.27197039,-12.77519103,
Greg Weissert ,-10.32639198,-12.84169828,
Bryan King ,-10.37980729,-12.90697578,
Luke Jackson ,-10.38465502,-12.91290006,
Sawyer Gipson-Long ,-10.41217619,-12.946533,
Kutter Crawford ,-10.42346925,-12.96033397,
Jose Berrios,-10.4265179,-13.12310784,10
Drey Jameson ,-10.43018416,-12.96854008,
Trevor Stephan ,-10.63194004,-13.21510086,
Colin Poche ,-10.64633522,-13.23269285,
Ryne Nelson ,-10.65544946,-13.24383113,
Alex Faedo ,-10.67917911,-13.27283054,
Keaton Winn ,-10.6834904,-13.27809925,
Alex Lange ,-10.6918709,-13.28834086,
Sean Reid-Foley ,-10.76462269,-13.37724898,
Collin Snider ,-10.90334993,-13.54678405,
Troy Taylor ,-10.96130519,-13.61760971,
Shelby Miller ,-11.00996774,-13.67707899,
Andrew Chafin ,-11.04924219,-13.7250753,
Kaleb Ort ,-11.22831309,-13.94391334,
Abner Uribe ,-11.26296487,-13.98626041,
Josh Winckowski ,-11.30636389,-14.03929725,
Tristan Beck ,-11.43698234,-14.19892277,
Luis Gonzalez,-11.48584701,-14.25863906,
Daniel Palencia ,-11.50278365,-14.2793369,
Sean Guenther ,-11.50799267,-14.28570271,
Michael McGreevy ,-11.54624272,-14.52440827,7
Connor Thomas ,-11.57581812,-14.36859048,
Bryan Hoeing ,-11.63655961,-14.44282113,
