Name,W,QS,ERA,WHIP,G,SV,HLD,SVH,IP,SO,K/9,BB/9,BABIP,FIP
A.J. Blubaugh,1,0,4.17512,1.32012,10,0,1,1,10,9,8.20979,3.25316,0.289694,4.2964
A.J. Minter,5,0,3.36925,1.16133,54,2,11,13,54,60,10.0447,2.9807,0.285148,3.48759
A.J. Puk,5,0,3.26342,1.17216,64,17,7,24,64,78,10.9272,3.1436,0.294592,3.31499
Aaron Ashby,4,2,4.03819,1.4329,42,0,1,1,64,63,8.83054,4.61417,0.298327,4.15427
Aaron Bummer,5,0,3.0264,1.25598,61,1,14,15,61,71,10.4223,3.60014,0.308664,2.91227
Aaron Civale,8,11,4.31435,1.27026,39,0,1,1,146,136,8.40993,2.68873,0.288004,4.41481
Aaron Nola,12,17,3.83836,1.1652,31,0,0,0,188,185,8.85922,2.05682,0.292043,3.70448
Abner Uribe,2,0,3.58771,1.33206,49,0,1,1,49,58,10.7204,5.12713,0.286307,3.80393
Adam Cimber,1,0,4.72632,1.36882,28,0,0,0,28,20,6.31721,3.01575,0.295757,4.74741
Adam Macko,0,1,4.625,1.41123,2,0,0,0,8,7,7.59792,3.81966,0.288955,4.79098
Adam Mazur,2,3,4.7298,1.38111,6,0,0,0,33,25,6.83456,2.80765,0.295958,4.65711
Adam Ottavino,2,0,4.18991,1.32745,44,0,1,1,44,45,9.26117,3.8434,0.298923,4.06588
Adrian Morejon,3,0,3.54386,1.23542,61,1,12,13,61,65,9.5258,3.17214,0.289379,3.64534
AJ Smith-Shawver,4,3,4.17161,1.30952,43,0,1,1,74,77,9.36033,3.62007,0.29087,4.18592
Alan Rangel,2,0,4.71793,1.33086,32,0,1,1,32,27,7.59116,3.01067,0.285801,4.67974
Albert Abreu,0,0,4.50237,1.4308,10,0,1,1,10,10,9.02205,4.22964,0.300708,4.57354
Albert Suárez,4,2,4.34476,1.33192,59,0,5,5,81,70,7.8735,2.7713,0.296796,4.42399
Alec Marsh,7,7,4.47772,1.33274,36,0,1,1,111,106,8.59883,3.30575,0.29552,4.3287
Alek Jacob,2,0,4.17207,1.31216,48,0,1,1,48,44,8.24905,3.43636,0.284386,4.41183
Alek Manoah,1,1,4.14214,1.26733,10,0,1,1,17,16,8.57989,3.283,0.282729,4.25522
Alex Cobb,5,10,3.82144,1.31608,18,0,0,0,95,78,7.4194,2.74374,0.304416,3.6951
Alex Cornwell,0,0,4.13542,1.35272,8,0,1,1,8,6,6.39316,2.70766,0.297262,4.28963
Alex Faedo,3,0,4.21936,1.29537,57,0,11,11,57,55,8.75209,3.32719,0.287178,4.24506
Alex Lange,3,0,3.71044,1.35005,39,0,1,1,39,45,10.2852,4.82654,0.291753,3.71142
Alex Speas,1,0,4.32021,1.50326,16,0,1,1,16,18,9.90915,5.90636,0.295285,4.38652
Alex Vesia,4,0,3.53336,1.19513,58,0,14,14,58,74,11.4191,3.90453,0.277471,3.69532
Alex Wood,4,6,4.66589,1.38207,13,0,0,0,69,57,7.44706,3.20909,0.297645,4.6061
Alex Young,1,0,4.62633,1.41421,22,0,1,1,22,19,7.94118,3.41129,0.302571,4.58649
Alexis Díaz,4,0,4.15329,1.29312,65,28,3,31,65,69,9.6015,4.28024,0.280498,4.21162
Amos Willingham,3,0,4.48833,1.40415,44,0,1,1,44,38,7.69307,3.3871,0.297996,4.52902
Anderson Pilar,2,0,4.26999,1.34622,50,0,4,4,50,43,7.69938,3.06832,0.299079,4.36824
Andre Granillo,1,0,4.64874,1.46891,15,0,1,1,15,14,8.29471,4.69953,0.286256,4.82138
Andre Pallante,9,12,3.92338,1.40656,41,0,1,1,153,113,6.64469,3.61746,0.300482,4.05092
Andrés Muñoz,6,0,2.72692,1.10194,64,26,4,30,64,85,11.9369,3.45391,0.287036,2.82433
Andrew Abbott,8,11,4.56676,1.34014,24,0,0,0,133,127,8.60055,3.28134,0.290783,4.61752
Andrew Chafin,3,0,3.92017,1.33755,55,0,6,6,55,60,9.8791,4.21766,0.290035,3.95179
Andrew Heaney,7,10,4.51024,1.28712,35,0,1,1,130,124,8.5822,2.81671,0.293856,4.40443
Andrew Kittredge,5,0,3.75931,1.226,66,2,13,15,66,61,8.25806,2.40768,0.294671,3.93694
Andrew Misiaszek,2,0,3.99017,1.35979,26,0,1,1,26,27,9.30103,4.04955,0.294065,4.19353
Andrew Moore,1,0,5.09611,1.55203,32,0,1,1,32,34,9.51315,5.59099,0.297393,5.02672
Andrew Morris,0,0,4.14676,1.29225,8,0,1,1,8,6,7.10702,2.42854,0.295519,4.12809
Andrew Nardi,3,0,3.61531,1.23086,50,0,4,4,50,62,11.1612,3.591,0.294384,3.65646
Andrew Painter,3,4,4.53002,1.31948,19,0,1,1,64,62,8.76142,3.36528,0.286402,4.55511
Andrew Saalfrank,2,0,3.7696,1.42827,28,0,1,1,28,27,8.545,4.52575,0.300786,3.97539
Andrew Walters,3,0,3.98228,1.31075,56,0,8,8,56,62,9.89225,4.18143,0.288004,4.10224
Andry Lara,1,0,4.60726,1.38192,22,0,1,1,22,17,6.75955,3.15986,0.289593,4.70298
Angel Bastardo,1,0,4.28161,1.36206,17,0,1,1,17,15,7.99305,3.73312,0.286672,4.48807
Angel Chivilli,3,0,4.765,1.38822,53,0,6,6,53,48,8.16987,3.36433,0.301667,4.67904
Angel Perdomo,3,0,3.78651,1.27188,54,0,7,7,54,68,11.4127,4.3177,0.294465,3.84514
Angel Zerpa,3,0,3.86681,1.31669,59,0,12,12,59,51,7.74259,3.03725,0.29916,3.94978
Anthony Banda,3,0,4.07468,1.33525,57,0,13,13,57,56,8.83643,3.4995,0.294524,4.18083
Anthony Bender,3,0,3.67597,1.26335,60,5,12,17,60,63,9.43524,3.28145,0.30222,3.52946
Anthony DeSclafani,3,5,4.632,1.34778,10,0,0,0,54,42,7.01277,2.49724,0.297555,4.61691
Anthony Hoopii-Tuionetoa,1,0,4.8482,1.44671,21,0,1,1,21,18,7.66767,3.8505,0.293291,4.86621
Anthony Misiewicz,1,0,4.3202,1.37073,21,0,1,1,21,19,8.31114,3.24996,0.300632,4.27611
Anthony Molina,1,0,4.88828,1.42173,33,0,1,1,33,23,6.26691,2.76753,0.304728,4.53044
Anthony Veneziano,3,0,4.30832,1.39002,56,0,9,9,56,46,7.41158,3.29147,0.299207,4.45107
Antonio Jimenez,1,0,4.39435,1.41387,26,0,1,1,26,20,6.98794,3.54626,0.293894,4.5047
Antonio Senzatela,6,8,5.06598,1.46903,42,0,1,1,135,85,5.6569,2.60992,0.311312,4.68965
Aroldis Chapman,5,0,3.23513,1.28291,63,12,9,21,63,93,13.3188,5.10156,0.30072,3.2402
Austin Adams,1,0,4.53856,1.37587,24,0,1,1,24,29,10.7294,4.85452,0.297141,4.56422
Austin Gomber,7,10,5.16996,1.40834,26,0,0,0,143,102,6.42316,2.50475,0.302968,4.93198
Austin Warren,0,0,4.35764,1.3531,10,0,1,1,10,9,7.67559,3.56862,0.287389,4.47328
Bailey Falter,6,8,4.48684,1.33084,43,0,1,1,124,91,6.64516,2.62266,0.292337,4.52467
Bailey Horn,1,0,4.40401,1.45957,22,0,1,1,22,20,8.00913,4.47771,0.290528,4.67262
Bailey Ober,10,15,3.97889,1.15671,29,0,0,0,167,171,9.23659,2.17678,0.284921,3.97603
Beau Brieske,3,0,4.02021,1.27481,66,10,10,20,66,62,8.51666,3.27195,0.284033,4.0747
Ben Brown,3,1,3.59411,1.20666,31,0,1,1,45,50,10.0603,3.378,0.284908,3.58409
Ben Casparius,2,0,4.6783,1.39178,38,0,1,1,38,37,8.66865,4.04635,0.285542,4.74328
Ben Joyce,3,0,3.47137,1.24134,62,7,10,17,62,75,10.8404,4.05031,0.290714,3.58446
Ben Lively,8,11,4.51762,1.36905,24,0,0,0,131,103,7.05548,2.91781,0.295018,4.63063
Bennett Sousa,3,0,3.98186,1.32576,48,0,1,1,48,48,8.99188,3.68559,0.289256,4.17717
Blake Snell,11,17,3.45011,1.21249,29,0,0,0,160,209,11.7905,3.96016,0.288323,3.41632
Blake Treinen,5,0,3.33747,1.15588,59,6,14,20,59,64,9.69822,2.79242,0.291076,3.37235
Blake Walston,2,0,4.17225,1.38624,32,0,1,1,32,27,7.55265,3.58067,0.295648,4.33544
Blake Weiman,0,0,4.33028,1.31998,8,0,1,1,8,6,7.30423,2.77004,0.290158,4.52449
Blas Castano,2,1,4.30178,1.33545,28,0,1,1,34,26,6.74413,2.91841,0.289135,4.53588
Bobby Miller,3,1,4.0292,1.25105,42,0,1,1,49,47,8.76387,3.06013,0.289787,3.94174
Bowden Francis,11,12,4.13323,1.19482,36,0,1,1,157,145,8.29137,2.46268,0.277812,4.34894
Brad Keller,1,0,4.4151,1.42264,19,0,1,1,19,15,7.22572,3.66234,0.296974,4.48321
Bradgley Rodriguez,1,0,4.44118,1.40999,26,0,1,1,26,24,8.42895,4.48825,0.28369,4.64259
Bradley Blalock,2,1,5.26566,1.49248,29,0,1,1,49,36,6.5718,3.48351,0.301095,5.11375
Brady Basso,3,1,3.88517,1.22198,55,0,5,5,61,56,8.25621,2.43167,0.288872,3.9921
Brady Singer,9,14,4.53534,1.31091,29,0,0,0,167,159,8.61667,2.65985,0.30451,4.25206
Brandon Eisert,1,0,4.05352,1.31968,28,0,1,1,28,26,8.27765,3.26558,0.29348,4.12758
Brandon Pfaadt,9,11,3.91254,1.18827,33,0,1,1,138,136,8.8835,2.10905,0.296465,3.72741
Brandon Sproat,1,2,4.22964,1.33848,5,0,0,0,25,22,7.85016,3.36909,0.287882,4.3169
Brandon Woodruff,9,15,3.61308,1.15243,26,0,0,0,153,170,9.95324,2.52945,0.287813,3.70282
Brandon Young,1,0,4.00034,1.25896,22,0,1,1,22,21,8.43556,2.66869,0.293432,4.01943
Brandyn Garcia,1,0,4.06453,1.31637,21,0,1,1,21,19,7.93456,3.43075,0.288237,4.37716
Brant Hurter,3,0,3.78304,1.19942,60,0,5,5,60,49,7.40728,2.09078,0.290038,3.83757
Braxton Ashcraft,2,1,4.06614,1.26525,33,0,1,1,46,38,7.51042,2.22166,0.297763,3.96793
Brayan Bello,11,15,4.09138,1.34699,29,0,0,0,163,150,8.26808,3.21532,0.307652,3.85209
Braydon Fisher,1,0,4.49629,1.45844,21,0,1,1,21,21,8.89791,4.84768,0.288592,4.64405
Brenan Hanifee,2,0,3.84115,1.26604,44,0,1,1,44,34,6.99264,2.38461,0.294304,3.8578
Brendon Little,3,0,3.85959,1.39115,56,0,10,10,56,48,7.76388,4.01066,0.294594,4.09457
Brennan Bernardino,3,0,3.95346,1.32645,52,0,4,4,52,52,8.97369,3.51163,0.303519,3.97792
Brent Headrick,2,0,4.15174,1.27594,34,0,1,1,34,34,9.00938,2.94939,0.290585,4.25372
Brent Suter,3,0,4.42377,1.36733,63,0,11,11,63,49,7.02463,2.78114,0.300836,4.50109
Brett de Geus,2,0,4.78103,1.48644,39,0,1,1,39,27,6.23107,3.56772,0.305457,4.56486
Brock Burke,3,0,3.84889,1.27311,66,1,16,17,66,66,9.00644,3.13995,0.292664,3.93675
Brock Stewart,3,0,3.14015,1.18128,56,1,9,10,56,72,11.5479,3.56171,0.294828,3.07207
Brooks Raley,1,0,3.93987,1.31073,26,0,0,0,26,26,9.05341,3.69321,0.292644,4.08857
Brusdar Graterol,1,0,3.34555,1.18941,22,0,1,1,22,19,7.62625,2.43325,0.293001,3.4506
Bryan Abreu,4,0,3.1522,1.16762,72,2,15,17,72,93,11.5762,3.67233,0.286964,3.27765
Bryan Baker,2,0,3.96703,1.30179,46,0,1,1,46,47,9.12198,3.72147,0.290543,3.96059
Bryan Hoeing,3,0,4.17959,1.29106,56,0,9,9,56,45,7.16481,2.65543,0.290405,4.20854
Bryan Hudson,3,0,3.51999,1.19913,60,1,11,12,60,65,9.74437,3.26861,0.283567,3.6798
Bryan King,2,0,3.82517,1.33414,60,0,12,12,60,60,8.98446,3.83975,0.291948,4.12757
Bryan Shaw,1,0,5.28939,1.56462,17,0,1,1,17,14,7.26065,4.59202,0.301018,5.30457
Bryan Woo,8,14,3.71207,1.12689,26,0,0,0,134,125,8.40066,1.97046,0.282061,3.82583
Bryce Elder,3,3,4.19115,1.34757,16,0,1,1,46,39,7.53646,3.00546,0.302263,4.07869
Bryce Jarvis,2,0,4.4286,1.4486,48,0,1,1,48,38,7.11328,4.05234,0.295427,4.57602
Bryce Miller,10,17,3.76857,1.16802,31,0,0,0,172,162,8.49129,2.37085,0.280685,3.94474
Bryse Wilson,4,4,4.88575,1.37801,39,0,1,1,100,72,6.49011,2.84016,0.290411,4.9751
Bubba Chandler,4,7,4.50684,1.39376,15,0,0,0,75,65,7.78752,3.65135,0.294282,4.54436
Buck Farmer,2,0,4.49446,1.36774,46,0,1,1,46,45,8.81387,3.84245,0.292556,4.41322
Cade Cavalli,5,6,4.22882,1.33653,28,0,1,1,82,78,8.51752,3.65719,0.290855,4.24319
Cade Povich,6,7,4.24203,1.33532,27,0,1,1,88,81,8.28017,3.40489,0.290661,4.32556
Cade Smith,4,0,3.01689,1.10654,68,2,14,16,68,86,11.3605,3.07211,0.287831,2.96316
Caden Dana,4,5,4.92309,1.38238,13,0,0,0,69,59,7.60761,3.39058,0.287658,4.99222
Cal Quantrill,7,11,4.81357,1.43412,26,0,0,0,143,104,6.53387,3.36028,0.295935,4.85928
Caleb Ferguson,3,0,3.4429,1.2957,60,1,11,12,60,63,9.47843,3.61395,0.302426,3.44472
Caleb Kilian,1,1,4.38117,1.3672,24,0,1,1,31,23,6.93026,3.13742,0.294904,4.35073
Caleb Thielbar,3,0,3.71103,1.23782,56,0,10,10,56,61,9.80962,3.20657,0.289484,3.71902
Calvin Faucher,3,0,3.91425,1.38532,63,22,6,28,63,66,9.41335,4.05668,0.303659,3.86182
Cam Booser,3,0,4.32186,1.36291,60,0,11,11,60,61,9.14255,3.74058,0.294842,4.3616
Camilo Doval,5,0,3.30919,1.25412,62,10,12,22,62,75,10.9514,4.14128,0.295736,3.28528
Carlos Carrasco,1,1,4.64368,1.39695,17,0,1,1,23,20,7.69958,2.89534,0.303409,4.64515
Carlos Estévez,5,0,3.8651,1.24002,64,21,6,27,64,63,8.80177,3.14041,0.287611,3.80782
Carlos Hernández,2,0,4.20957,1.34333,48,0,1,1,48,46,8.6977,3.84445,0.29186,4.072
Carlos Rodón,12,16,4.0079,1.18604,31,0,0,0,171,191,10.0402,2.84048,0.282688,3.96156
Carlos Rodriguez,2,1,4.57156,1.33834,15,0,1,1,30,27,8.07164,3.49088,0.28202,4.69983
Carlos Vargas,3,0,4.00331,1.37889,56,0,7,7,56,47,7.57962,3.65522,0.293668,4.28216
Carmen Mlodzinski,4,0,4.06686,1.3511,61,1,12,13,61,54,8.00003,3.53364,0.295701,4.09864
Carson Palmquist,1,1,5.14417,1.47258,3,0,0,0,16,15,8.12075,4.07366,0.296395,5.13567
Carson Ragsdale,1,0,4.05995,1.31314,28,0,1,1,28,28,9.06201,3.3653,0.29476,4.05034
Carson Seymour,1,0,4.00162,1.33572,24,0,1,1,24,19,7.28092,2.91937,0.29893,4.04379
Carson Spiers,2,1,4.88551,1.36801,38,0,1,1,46,40,7.88496,2.95882,0.297418,4.77839
Carson Whisenhunt,2,1,3.95871,1.31519,24,0,1,1,37,36,8.7524,3.4201,0.292653,4.00706
Casey Legumina,2,0,4.60668,1.36887,34,0,1,1,34,29,7.73094,3.22243,0.293561,4.55738
Casey Mize,6,11,4.23543,1.28681,23,0,0,0,118,94,7.17661,2.53638,0.291424,4.2472
Chad Green,5,0,3.93837,1.21276,63,5,12,17,63,60,8.61604,2.71456,0.282479,4.11914
Chad Patrick,1,0,4.24077,1.25446,24,0,1,1,24,22,8.06957,2.65752,0.284004,4.32196
Charlie Morton,9,14,4.2903,1.33704,28,0,0,0,154,153,8.91131,3.5636,0.295434,4.39403
Chase Dollander,4,7,5.06042,1.42076,18,0,0,0,95,85,8.10648,3.58325,0.299013,4.92584
Chase Lee,1,0,3.68768,1.25185,24,0,1,1,24,23,8.68056,3.03739,0.291377,3.75688
Chase Petty,1,1,4.9492,1.43218,18,0,1,1,32,24,6.87326,3.37195,0.2954,4.88368
Chase Shugart,1,0,4.52398,1.41122,19,0,1,1,19,15,7.00805,3.34699,0.29885,4.53128
Chase Silseth,3,1,4.17069,1.3247,48,0,1,1,54,52,8.7377,3.47616,0.293898,4.27271
Chase Solesky,1,0,4.80636,1.4325,12,0,1,1,12,7,5.52676,2.95184,0.293479,4.91572
Chayce McDermott,2,1,4.11714,1.35237,31,0,1,1,45,48,9.63637,4.25411,0.288496,4.22251
Chris Bassitt,11,16,4.09031,1.29832,31,0,0,0,177,161,8.19078,3.06554,0.293002,4.21139
Chris Devenski,1,0,4.60756,1.32428,19,0,1,1,19,18,8.4654,3.16314,0.287591,4.58175
Chris Flexen,1,0,4.5569,1.38322,16,0,1,1,16,13,7.29927,2.98301,0.298757,4.46654
Chris Martin,4,0,3.37254,1.11841,58,20,6,26,58,58,9.01629,1.64424,0.300102,3.17344
Chris Murphy,0,0,4.47867,1.41428,8,0,1,1,8,7,7.7621,3.72366,0.300347,4.416
Chris Paddack,7,7,4.22043,1.27089,55,0,1,1,124,115,8.31316,2.26953,0.302102,3.9498
Chris Roycroft,3,0,4.12981,1.42197,51,0,4,4,51,42,7.47168,4.05071,0.295151,4.34812
Chris Sale,14,20,3.03004,1.08972,31,0,0,0,182,224,11.0595,2.3029,0.300879,2.92159
Chris Stratton,3,0,4.53829,1.43431,54,0,7,7,54,44,7.38262,3.93288,0.296281,4.467
Cionel Pérez,2,0,3.72007,1.37493,56,0,7,7,56,50,8.10118,4.07486,0.297422,3.86909
Clarke Schmidt,9,11,3.9681,1.24505,41,0,1,1,146,145,8.95828,2.97197,0.288651,3.99454
Clay Holmes,13,12,3.60743,1.3396,49,0,1,1,164,148,8.09309,3.17046,0.307912,3.55403
Clayton Beeter,1,0,4.03966,1.29051,28,0,1,1,28,31,9.94719,3.92947,0.281737,4.15652
Clayton Kershaw,5,7,3.80896,1.2198,13,0,0,0,68,63,8.36383,2.41061,0.292645,3.86717
Cody Bolton,2,0,4.07676,1.35487,41,0,1,1,41,39,8.50158,3.85524,0.287976,4.27633
Cody Bradford,5,4,4.20318,1.18951,47,0,1,1,88,79,8.04614,1.96523,0.285499,4.09423
Cody Poteet,1,0,3.85953,1.25441,30,0,1,1,30,28,8.33829,2.96184,0.290931,3.93825
Cole Henry,1,0,4.82064,1.42053,40,0,1,1,40,35,7.84784,4.14884,0.288567,4.80071
Cole Ragans,12,18,3.509,1.23036,31,0,0,0,179,201,10.1138,3.36777,0.294539,3.49783
Cole Sands,4,0,3.66065,1.19551,64,1,15,16,64,70,9.81347,2.80438,0.29386,3.63447
Cole Sulser,2,0,4.31129,1.37899,28,0,1,1,28,26,8.42604,3.81842,0.291934,4.38016
Cole Waites,1,0,4.1023,1.38162,15,0,1,1,15,15,8.9115,4.13994,0.293116,4.20296
Colin Holderman,4,0,3.89103,1.30533,62,3,13,16,62,63,9.07412,3.72917,0.294911,3.84689
Colin Poche,3,0,4.25243,1.29498,56,0,9,9,56,50,8.07434,3.38793,0.280192,4.47153
Colin Rea,6,8,4.53009,1.30203,31,0,1,1,122,97,7.12461,2.45625,0.292594,4.50238
Colin Selby,2,0,3.95915,1.36855,51,0,1,1,51,53,9.41581,4.19053,0.297475,4.03159
Collin Snider,4,0,4.1272,1.37019,65,3,12,15,65,60,8.25432,3.8189,0.290974,4.26201
Colten Brewer,1,0,4.50495,1.3587,22,0,1,1,22,20,8.35605,3.65903,0.287619,4.39668
Colton Gordon,1,1,4.20384,1.30034,17,0,1,1,24,21,7.86278,2.96127,0.287142,4.4164
Connor Brogdon,2,0,4.55345,1.35087,38,0,1,1,38,38,8.9574,3.66687,0.291314,4.51192
Connor Gillispie,2,0,4.59643,1.38489,41,0,1,1,41,34,7.47277,3.39728,0.29069,4.74466
Connor Phillips,1,0,4.72821,1.43685,21,0,1,1,21,22,9.29248,4.39179,0.297608,4.60532
Connor Thomas,3,0,3.99194,1.29249,54,0,6,6,54,39,6.48888,2.35978,0.294366,4.11534
Cooper Criswell,2,1,4.43405,1.33575,23,0,1,1,30,22,6.83024,2.4537,0.305644,4.21939
Corbin Burnes,13,19,3.33215,1.16663,31,0,0,0,188,188,8.99755,2.53145,0.292486,3.38537
Cory Lewis,1,0,4.41222,1.38488,14,0,1,1,14,13,8.26974,3.71683,0.292818,4.49538
Craig Kimbrel,3,0,3.9312,1.28811,40,0,0,0,40,49,10.9139,4.2977,0.289891,3.95812
Craig Yoho,2,0,3.73068,1.24243,47,0,1,1,47,53,10.1994,3.65689,0.286067,3.87931
Cristian Javier,1,0,4.03851,1.24082,17,0,1,1,17,18,9.38884,3.38432,0.277198,4.29576
Cristian Mena,1,1,4.1422,1.36151,14,0,1,1,21,18,8.07535,3.50964,0.295958,4.26082
Cristopher Sánchez,11,16,3.68028,1.24054,29,0,0,0,171,147,7.73269,2.44087,0.297057,3.72494
Dakota Hudson,1,0,4.80277,1.4753,21,0,1,1,21,14,6.01548,3.59654,0.299945,4.75921
Dan Altavilla,1,0,4.7341,1.473,24,0,1,1,24,23,8.50767,4.11751,0.300437,4.82466
Dane Acker,0,1,5.11418,1.45875,2,0,0,0,8,7,7.28414,3.94821,0.287543,5.16322
Dane Dunning,4,1,4.31627,1.31356,56,0,7,7,71,64,8.18331,3.00255,0.295555,4.19882
Daniel Bard,2,0,4.75836,1.50717,34,0,0,0,34,32,8.5453,5.17825,0.293989,4.97078
Daniel Lynch IV,3,1,4.30202,1.32789,52,0,4,4,59,48,7.26576,2.7006,0.298259,4.24098
Daniel Palencia,2,0,3.89334,1.32325,38,0,1,1,38,43,10.1123,4.36012,0.289482,3.97838
Daniel Robert,2,0,4.4626,1.34514,33,0,1,1,33,33,8.86537,3.79609,0.28976,4.35528
Danny Coulombe,3,0,3.48479,1.20589,51,0,4,4,51,52,9.16861,2.74911,0.295226,3.58529
Danny Young,3,0,3.95767,1.32565,56,0,10,10,56,61,9.83243,4.23224,0.293814,4.00014
Dauri Moreta,2,0,4.12433,1.29956,37,0,1,1,37,39,9.41092,3.65681,0.290853,4.2014
David Bednar,4,0,3.70782,1.2387,64,28,4,32,64,68,9.61742,3.27647,0.293309,3.63834
David Festa,6,7,3.99568,1.28337,42,0,1,1,106,111,9.41748,3.30575,0.29534,3.86761
David Peterson,9,13,3.89705,1.34578,32,0,1,1,147,136,8.36425,3.56253,0.296919,4.01175
David Robertson,4,0,3.49063,1.21752,57,0,0,0,57,70,11.0243,3.68972,0.293145,3.40605
