Name,W,QS,ERA,G,SV,HLD,SVH,IP,SO,K/9,BB/9,FIP
Dane Acker,0,1,5.11418,2,0,0,0,8,7,7.28414,3.94815,
Nate Lavender,1,0,3.96719,22,0,1,1,22,24,10.0098,4.3238,
Davis Daniel,1,0,4.09299,15,0,1,1,15,13,7.84491,2.3624,
Zach Penrod,1,0,4.27034,18,0,1,1,18,19,9.33464,4.29802,
Jack Dreyer,1,0,4.15784,17,0,1,1,17,17,8.93854,3.56953,
Yosver Zulueta,2,0,4.49483,46,0,1,1,46,46,8.96882,4.37753,
Tyler Alexander,3,1,4.5211,52,0,4,4,59,49,7.4133,1.94823,
Nick Frasso,1,0,4.05399,15,0,1,1,15,14,8.487,2.88504,
Riley O'Brien,3,0,4.09491,53,0,7,7,53,53,9.00748,4.47441,
Daniel Robert,2,0,4.46259,28,0,1,1,28,28,8.86537,3.79605,
Jackson Rutledge,1,1,4.68851,26,0,1,1,32,26,7.32286,3.73661,
Jimmy Herget,3,0,4.78916,48,0,1,1,48,41,7.76252,2.83995,
Matt Festa,1,0,4.3275,18,0,1,1,18,17,8.5301,3.50248,
Brent Headrick,1,0,4.15174,24,0,1,1,24,24,9.00937,2.94946,
Enyel De Los Santos,1,0,3.98724,21,0,1,1,21,22,9.2232,3.29938,
Dietrich Enns,1,0,3.83592,15,0,1,1,15,15,8.86608,3.2751,
Hunter Bigge,3,0,4.19157,55,0,8,8,55,60,9.7742,4.50273,
Jack Neely,0,0,4.1038,10,0,1,1,10,10,9.42495,3.53848,
Miguel Castro,3,0,4.28974,43,0,1,1,43,40,8.35644,3.63648,
Jesse Chavez,1,0,4.22736,33,0,1,1,33,30,8.14336,3.05135,
Jordan Balazovic,1,0,4.0655,12,0,1,1,12,11,8.1552,3.65466,
Logan Henderson,1,0,4.09,10,0,1,1,10,10,9.3759,2.6505,
Blas Castano,2,1,4.30178,28,0,1,1,34,26,6.74416,2.91842,
Josh Simpson,2,0,4.14069,39,0,1,1,39,42,9.6223,4.54417,
Michael Kelly,1,0,4.15677,24,0,1,1,24,22,8.33748,3.49345,
Luis González,2,0,3.99955,36,0,1,1,36,34,8.48668,2.8713,
Cristian Javier,1,0,4.03859,17,0,1,1,17,18,9.38866,3.38435,
Andrew Morris,0,0,4.14695,8,0,1,1,8,6,7.10708,2.42854,
Trevor Gott,0,0,4.04254,10,0,1,1,10,9,8.39097,3.04081,
Colten Brewer,1,0,4.50494,22,0,1,1,22,20,8.35611,3.65903,
Gabriel Hughes,1,0,4.71223,12,0,1,1,12,11,8.13488,3.4674,
Tyler Wells,0,0,4.16404,8,0,1,1,8,7,8.37491,2.43764,
Vince Velasquez,1,0,4.02252,12,0,1,1,12,12,9.18983,3.01357,
Luis Frías,2,0,4.25161,39,0,1,1,39,39,9.01625,4.12649,
JT Chargois,1,0,4.10366,26,0,1,1,26,24,8.24055,3.62793,
Alex Young,1,0,4.62635,22,0,1,1,22,19,7.94114,3.41131,
Yohan Ramírez,1,0,4.33672,17,0,1,1,17,16,8.26349,3.89747,
Anthony Molina,1,0,4.88825,33,0,1,1,33,23,6.26695,2.76757,
Hayden Harris,1,0,4.11834,17,0,1,1,17,18,9.76973,4.2049,
Zach Maxwell,2,0,4.62121,33,0,1,1,33,36,9.91787,5.08387,
Carson Seymour,1,0,4.00159,24,0,1,1,24,19,7.28094,2.91939,
Chad Patrick,1,0,4.24076,24,0,1,1,24,22,8.06963,2.65752,
Andrew Misiaszek,2,0,3.99219,31,0,1,1,31,32,9.30298,4.05036,
Yerry De Los Santos,1,0,4.24152,26,0,1,1,26,21,7.25513,3.2148,
Justin Lawrence,4,0,4.39375,66,0,8,8,66,60,8.183,4.27734,
Carson Ragsdale,1,0,4.05994,28,0,1,1,28,28,9.06201,3.3653,
Tyler Mattison,1,0,4.01335,22,0,1,1,22,22,8.86582,3.83879,
Tyler Phillips,2,0,4.50839,43,0,1,1,43,32,6.67918,2.88217,
Alex Speas,1,0,4.32021,16,0,1,1,16,18,9.90915,5.90636,
Tommy Nance,3,0,4.1595,54,0,7,7,54,48,8.01505,3.20881,
Trevor Richards,1,0,4.24096,26,0,1,1,26,28,9.76831,4.07205,
Ryan Borucki,1,0,4.20042,28,0,1,1,28,28,8.92971,3.93846,
Edgardo Henriquez,2,0,4.4152,36,0,1,1,36,38,9.54924,4.38096,
Albert Abreu,0,0,4.50228,10,0,1,1,10,10,9.02232,4.22955,
A.J. Blubaugh,1,0,4.17512,10,0,1,1,10,9,8.20979,3.25316,
Justin Wrobleski,2,0,4.37911,35,0,1,1,35,31,8.03768,3.11861,
Wilmer Flores,0,0,4.14566,8,0,1,1,8,7,7.5567,3.30378,
Peter Strzelecki,1,0,4.47644,26,0,1,1,26,23,7.98921,3.59975,
Chris Murphy,0,0,4.47867,8,0,1,1,8,7,7.7621,3.72372,
Matt Canterino,1,0,4.30984,12,0,1,1,12,13,9.40823,4.02037,
Connor Phillips,1,0,4.72823,21,0,1,1,21,22,9.29238,4.39181,
Mason Fluharty,1,0,4.14186,22,0,1,1,22,21,8.45292,3.42443,
Alex Cornwell,0,0,4.13522,8,0,1,1,8,6,6.39327,2.70771,
Mason Montgomery,3,0,4.04288,60,1,12,13,60,58,8.75173,3.32356,
Jonathan Bowlan,2,0,4.46542,40,0,1,1,40,31,7.04498,2.90996,
Anthony Misiewicz,1,0,4.32019,21,0,1,1,21,19,8.3112,3.24999,
Taylor Clarke,0,0,4.51678,8,0,1,1,8,6,7.3108,2.75132,
José Cisnero,1,0,4.33798,24,0,0,0,24,25,9.23461,4.0089,
J.B. Wendelken,1,0,4.15519,22,0,1,1,22,20,8.12741,3.71487,
Jake Woodford,0,0,4.78087,10,0,1,1,10,7,6.73506,2.71867,
Gavin Hollowell,0,0,4.28125,6,0,1,1,6,6,9.01984,3.85585,
Jacob Lopez,2,0,4.06841,36,0,1,1,36,35,8.72424,3.76877,
Justin Hagenman,1,0,4.29852,12,0,1,1,12,11,7.96103,2.73666,
Sem Robberse,1,0,4.18911,21,0,1,1,21,17,7.26769,2.91666,
Zach Pop,2,0,4.27501,44,0,1,1,44,35,7.09575,3.25768,
Trent Harris,0,0,4.03113,10,0,1,1,10,9,8.1468,3.36609,
Ethan Small,1,0,4.02621,13,0,1,1,13,12,8.39282,3.8157,
Marc Church,3,0,4.41803,46,0,1,1,46,46,8.98949,3.7153,
Tejay Antone,0,0,4.80547,8,0,1,1,8,7,8.40207,3.85802,
John McMillon,2,0,4.40032,21,0,1,1,21,24,10.1126,5.22997,
Alek Jacob,2,0,4.1755,48,0,1,1,48,44,8.25076,3.43712,
Ethan Roberts,1,0,4.18485,35,0,1,1,35,35,8.88533,3.61569,
Grant Anderson,1,0,4.34938,28,0,1,1,28,28,9.04846,3.48439,
Austin Adams,1,0,4.53856,24,0,1,1,24,29,10.7293,4.85448,
Tyler Ferguson,3,0,4.13537,62,1,15,16,62,64,9.27996,4.25971,
Jack O'Loughlin,0,0,4.86085,8,0,1,1,8,6,6.85794,3.47591,
Blake Weiman,0,0,4.33028,8,0,1,1,8,6,7.30429,2.77004,
Chase Shugart,1,0,4.52395,19,0,1,1,19,15,7.00814,3.34699,
Cory Lewis,1,0,4.41223,10,0,1,1,10,9,8.26974,3.71682,
Tommy Henry,1,0,4.10928,24,0,1,1,24,21,7.82051,3.29418,
Jose Cuas,0,0,4.56371,10,0,1,1,10,10,8.6148,4.17896,
Gerson Garabito,1,0,4.50083,21,0,1,1,21,19,8.07452,3.17298,
Steven Okert,1,0,4.17841,26,0,1,1,26,28,9.55938,3.77429,
Elvin Rodriguez,1,0,4.24765,25,0,1,1,25,23,8.34358,2.8994,
Eiberson Castellano,2,0,4.34255,42,0,1,1,42,40,8.58259,3.34183,
Francis Pena,2,0,4.27333,33,0,1,1,33,27,7.42066,3.32181,
Luis Contreras,2,0,4.32457,44,0,1,1,44,43,8.74865,3.79168,
Grant Wolfram,1,0,4.36227,18,0,1,1,18,17,8.59982,4.19457,
Marco Raya,1,0,4.45894,14,0,1,1,14,12,7.91253,3.6507,
Tyler Gilbert,2,0,4.52329,54,3,6,9,54,44,7.40309,2.75993,
Cody Bolton,2,0,4.07676,41,0,1,1,41,39,8.50155,3.85524,
Chris Flexen,1,0,4.5569,16,0,1,1,16,13,7.29933,2.98304,
Tommy Doyle,1,0,4.94935,21,0,1,1,21,17,7.47801,3.8146,
Austin Warren,0,0,4.35749,10,0,1,1,10,9,7.67568,3.56862,
Joey Lucchesi,0,0,4.22888,8,0,1,1,8,6,6.38814,3.26347,
Austin Davis,1,0,4.50789,12,0,1,1,12,12,9.06119,5.00764,
Seth Martinez,1,0,4.07491,17,0,1,1,17,14,7.59022,3.39249,
Cole Sulser,2,0,4.31129,28,0,1,1,28,26,8.42604,3.81842,
Lyon Richardson,0,0,4.81947,12,0,1,1,12,11,8.48466,4.29408,
Shintaro Fujinami,1,0,4.127,24,0,1,1,24,26,9.79333,4.8624,
Joe Jacques,0,0,4.44348,10,0,1,1,10,8,6.87451,3.40083,
Connor Seabold,0,0,4.42015,10,0,1,1,10,9,7.91217,2.3238,
Cole Waites,1,0,4.1023,15,0,1,1,15,15,8.9115,4.13994,
John Rooney,1,0,4.43201,22,0,1,1,22,19,7.81531,3.94805,
Janson Junk,1,0,4.55564,18,0,1,1,18,13,6.35192,2.489,
Xzavion Curry,0,0,4.73863,8,0,1,1,8,6,6.81214,2.64789,
Drew Smith,1,0,4.2612,14,0,1,1,14,14,9.31415,3.77325,
Kyle Nicolas,2,0,4.29932,44,0,1,1,44,44,8.96184,4.39438,
Angel Bastardo,1,0,4.28162,17,0,1,1,17,15,7.99305,3.73312,
Jose E. Hernandez,1,0,4.32559,13,0,1,1,13,12,8.64831,4.00362,
Joe Barlow,0,0,4.72678,10,0,1,1,10,8,7.2985,3.40742,
Prelander Berroa,2,0,4.41835,48,3,1,4,48,51,9.60748,5.09827,
Max Rajcic,1,0,4.45882,10,0,1,1,10,7,6.71544,2.74354,
Dylan Dodd,2,0,4.26829,33,0,1,1,33,26,7.12636,2.39734,
Randy Rodríguez,3,0,4.05228,53,0,7,7,53,54,9.11785,4.24838,
Matt Barnes,1,0,4.63871,28,0,0,0,28,25,7.97376,3.86924,
Giovanny Gallegos,2,0,4.56756,33,0,1,1,33,32,8.8019,3.18669,
Ryan Loutos,2,0,4.19984,48,0,1,1,48,39,7.36325,3.57858,
Génesis Cabrera,1,0,4.29797,22,0,1,1,22,20,8.34655,4.04625,
Kelvin Cáceres,0,0,4.70818,10,0,1,1,10,10,9.44202,5.44192,
Easton Lucas,1,0,4.30713,35,0,1,1,35,31,7.92582,3.72109,
Steven Cruz,2,0,4.3459,44,0,1,1,44,42,8.50679,4.37502,
Eric Orze,3,0,4.13921,44,0,1,1,44,45,9.21063,4.01287,
Jacob Latz,3,0,4.41256,53,0,7,7,53,54,9.10182,4.45468,
Kyle Tyler,1,0,4.5656,28,0,1,1,28,22,7.18827,3.48736,
Troy Taylor,3,0,3.98955,54,0,4,4,54,54,8.99912,3.64266,
Jonathan Hernández,1,0,4.37673,26,0,1,1,26,24,8.35419,4.52699,
Jack Dashwood,2,0,4.45558,42,0,1,1,42,38,8.10974,3.01972,
Connor Brogdon,2,0,4.55341,38,0,1,1,38,38,8.95753,3.66689,
Mason Englert,2,0,4.34696,46,0,1,1,46,41,7.9495,2.82581,
Logan VanWey,1,0,4.27809,22,0,1,1,22,22,8.99448,4.45219,
Tyler Matzek,2,0,4.16519,46,0,4,4,46,44,8.565,4.31679,
Chris Devenski,1,0,4.60743,19,0,1,1,19,18,8.46545,3.16319,
Zach Agnos,2,0,4.81253,26,0,1,1,26,22,7.78095,3.1382,
Devin Sweet,3,0,4.60725,36,0,1,1,36,36,8.94339,3.77657,
Luis Guerrero,2,0,4.47116,42,0,1,1,42,42,9.07129,4.48037,
Luinder Avila,1,0,4.77258,12,0,1,1,12,9,6.54978,3.95662,
Diego Castillo,1,0,5.07472,34,0,1,1,34,28,7.35943,4.25422,
Shelby Miller,4,0,4.33318,53,0,7,7,53,50,8.4423,3.38862,
Héctor Neris,5,0,4.02116,56,0,10,10,56,59,9.5204,3.73803,
Kolby Allard,1,0,4.50804,17,0,1,1,17,15,7.71487,2.74013,
Jared Shuster,2,0,4.63409,40,0,1,1,40,31,6.88361,3.49618,
Nick Hernandez,3,0,4.35913,52,0,4,4,52,52,9.07499,3.53114,
Jefry Yan,1,0,4.82655,17,0,1,1,17,16,8.51268,5.13561,
Matt Krook,1,0,4.2299,21,0,1,1,21,21,8.79582,5.06423,
Roansy Contreras,2,0,4.38599,33,0,1,1,33,31,8.35635,3.32419,
Kade Strowd,1,0,4.38992,26,0,1,1,26,24,8.30683,4.10949,
Nick Anderson,3,0,4.23342,44,0,1,1,44,39,7.93118,3.32531,
Omar Cruz,1,0,4.27598,24,0,1,1,24,23,8.45329,3.94114,
Josh Ekness,1,0,4.57621,15,0,1,1,15,13,8.0367,4.2651,
Eric Cerantola,1,0,4.68519,14,0,1,1,14,13,8.57701,5.07274,
Brandyn Garcia,1,0,4.06452,21,0,1,1,21,19,7.93458,3.43075,
Scott Blewett,1,0,4.49722,24,0,1,1,24,19,7.03097,3.18227,
Colin Poche,3,0,4.25243,56,0,9,9,56,50,8.07433,3.38795,
Brad Keller,1,0,4.41518,19,0,1,1,19,15,7.22563,3.66244,
Tyler Owens,1,0,4.4356,21,0,1,1,21,17,7.2024,3.26044,
Jacob Wallace,1,0,4.87461,10,0,1,1,10,9,8.15017,5.26393,
Jonathan Heasley,1,0,4.94255,15,0,1,1,15,12,7.07446,3.06744,
Max Kranick,2,0,4.31595,41,0,1,1,41,34,7.51034,3.06813,
Angel Chivilli,3,0,4.76498,53,0,6,6,53,48,8.16996,3.36435,
Buck Farmer,2,0,4.49446,46,0,1,1,46,45,8.81391,3.84245,
Ryan Webb,1,0,4.23201,24,0,1,1,24,21,7.8572,3.54952,
Tom Cosgrove,2,0,4.28154,46,0,1,1,46,43,8.41187,3.82612,
Justin King,1,0,4.48701,24,0,1,1,24,25,9.25245,4.87428,
Michael Darrell-Hicks,1,0,4.68209,22,0,1,1,22,18,7.44412,2.91461,
Jacob Barnes,1,0,4.60255,24,0,1,1,24,20,7.51706,3.17295,
Luis Patiño,1,0,4.57075,15,0,1,1,15,13,7.62751,3.61101,
Chase Solesky,1,0,4.80635,12,0,1,1,12,7,5.5268,2.95184,
Jake Eder,1,0,4.71136,17,0,1,1,17,15,7.87519,4.22285,
Owen White,0,0,5.15999,12,0,1,1,12,9,6.6678,3.50827,
Keegan Thompson,4,0,4.05667,66,0,13,13,66,68,9.20608,4.0194,
Scott McGough,1,0,4.47755,22,0,1,1,22,21,8.38766,4.0557,
Victor González,1,0,4.4645,24,0,1,1,24,18,6.89006,4.06041,
Jordan Leasure,3,0,4.61593,62,0,10,10,62,60,8.69399,4.27612,
Sam Long,3,0,4.30053,56,0,10,10,56,49,7.94238,3.61057,
Ron Marinaccio,2,0,4.21987,40,0,1,1,40,40,9.08947,4.30989,
Alan Rangel,2,0,4.71792,32,0,1,1,32,27,7.59118,3.01067,
Blake Walston,2,0,4.17222,32,0,1,1,32,27,7.55275,3.5807,
Matt Bowman,1,0,4.52576,19,0,1,1,19,16,7.44689,3.65151,
Ryan Yarbrough,1,0,4.3453,26,0,1,1,26,19,6.67784,2.41169,
Andry Lara,1,0,4.60721,22,0,1,1,22,17,6.75967,3.15986,
Ben Casparius,1,0,4.67815,19,0,1,1,19,18,8.66872,4.04636,
Anthony Hoopii-Tuionetoa,1,0,4.8482,21,0,1,1,21,18,7.66769,3.8505,
Dakota Hudson,1,0,4.80277,21,0,1,1,21,14,6.01552,3.59658,
Chris Stratton,3,0,4.53832,54,0,7,7,54,44,7.38256,3.93291,
Rafael Montero,2,0,4.37263,54,0,7,7,54,50,8.25551,3.8886,
Jake Brigham,0,0,4.9558,15,0,0,0,15,14,8.52408,4.09091,
José Ureña,1,0,4.62313,17,0,1,1,17,13,6.672,3.25299,
Matt Moore,2,0,4.60292,28,0,1,1,28,26,8.38162,4.11802,
Yoendrys Gómez,2,0,4.48921,44,0,1,1,44,42,8.69133,3.76527,
Neftalí Feliz,0,0,4.9558,15,0,0,0,15,14,8.52408,4.09091,
Michael Arias,0,0,5.00506,10,0,1,1,10,9,8.38721,5.36944,
Braydon Fisher,1,0,4.49627,21,0,1,1,21,21,8.89796,4.84764,
Rolddy Munoz,1,0,4.40504,22,0,1,1,22,20,8.28686,4.1055,
Bradgley Rodriguez,1,0,4.44468,26,0,1,1,26,24,8.43073,4.48927,
Bailey Horn,1,0,4.404,22,0,1,1,22,20,8.00913,4.47769,
Michael Petersen,2,0,4.52921,36,0,1,1,36,33,8.30965,3.66563,
Will Klein,1,0,4.26622,22,0,1,1,22,22,9.11321,4.97915,
Trevor McDonald,2,0,4.12517,38,0,1,1,38,30,6.98933,2.96713,
Mick Abel,1,0,4.76008,22,0,1,1,22,20,8.01451,4.48431,
Dan Altavilla,1,0,4.73409,24,0,1,1,24,23,8.50769,4.11751,
Luis Curvelo,1,0,4.70433,24,0,1,1,24,21,8.01075,3.37824,
Alex Faedo,3,0,4.21937,57,0,11,11,57,55,8.75205,3.32719,
Mike Clevinger,2,0,4.61814,44,6,0,6,44,39,7.88521,2.88605,
Doug Nikhazy,1,0,4.31411,22,0,1,1,22,21,8.52178,4.53182,
Andre Granillo,1,0,4.64868,15,0,1,1,15,14,8.29477,4.6995,
Jackson Kowar,2,0,4.32967,35,0,1,1,35,34,8.86347,4.0649,
Domingo Gonzalez,2,0,4.33295,43,0,1,1,43,43,8.99943,3.94149,
Mike Vasil,3,0,4.2947,48,0,1,1,48,38,7.12706,2.77697,
Tanner Dodson,1,0,4.86842,10,0,1,1,10,7,6.42683,5.1972,
Zach Brzykcy,2,0,4.41514,48,0,1,1,48,48,8.90908,4.23722,
Connor Gillispie,1,0,4.5964,28,0,1,1,28,23,7.47288,3.39729,
John Curtiss,1,0,4.88698,18,0,1,1,18,14,6.86544,3.08744,
Carlos Vargas,3,0,4.00331,56,0,7,7,56,47,7.57962,3.65522,
Rodolfo Martinez,0,0,4.9558,24,0,0,0,24,23,8.52408,4.09091,
Juan Nuñez,0,0,4.99862,10,0,1,1,10,8,7.36713,5.11533,
Orlando Ribalta,1,0,4.81715,28,0,1,1,28,25,8.12875,4.63436,
Anthony Veneziano,3,0,4.30832,53,0,6,6,53,44,7.41158,3.29145,
Collin Snider,4,0,4.12718,65,3,12,15,65,60,8.25438,3.81886,
Evan Reifert,2,0,4.49383,52,0,6,6,52,55,9.5027,4.74182,
Guillo Zuñiga,1,0,4.97288,17,0,1,1,17,14,7.40878,4.05008,
Juan Mejia,1,0,5.19867,22,0,1,1,22,19,7.80245,4.68286,
T.J. McFarland,3,0,4.16067,58,0,10,10,58,41,6.42288,3.13523,
Brett de Geus,2,0,4.78101,41,0,1,1,41,28,6.23117,3.5677,
Matt Svanson,2,0,4.41718,35,0,1,1,35,25,6.4767,3.31806,
Griff McGarry,1,0,4.79884,26,0,1,1,26,27,9.33726,6.01816,
Sam Bachman,2,0,4.61191,44,0,1,1,44,36,7.26403,3.94262,
Jake Diekman,2,0,4.31878,40,0,1,1,40,47,10.5131,5.56486,
Hogan Harris,2,0,4.2958,41,0,1,1,41,37,8.21039,4.04392,
Matt Pushard,1,0,4.62451,26,0,1,1,26,21,7.42611,3.65444,
Chris Roycroft,3,0,4.12978,51,0,4,4,51,42,7.47178,4.05069,
Sean Reynolds,2,0,4.31274,53,1,6,7,53,52,8.88344,4.68108,
Justin Sterner,2,0,4.34379,44,0,1,1,44,41,8.47667,3.54693,
Jacob Misiorowski,1,0,4.45749,34,0,1,1,34,37,9.7602,4.77863,
Antonio Jimenez,1,0,4.39433,26,0,1,1,26,20,6.98799,3.54626,
Bryan Shaw,1,0,5.28939,17,0,1,1,17,14,7.26065,4.59202,
Jay Jackson,1,0,4.40949,20,0,0,0,20,20,8.86677,2.94603,
Thaddeus Ward,1,0,4.81386,16,0,1,1,16,13,7.24036,4.6936,
Jaden Hill,2,0,5.00782,42,0,1,1,42,37,7.87601,3.69072,
George Soriano,2,0,4.47949,48,0,1,1,48,45,8.47602,3.91447,
Anderson Pilar,2,0,4.26999,50,0,4,4,50,43,7.69938,3.06834,
Andrew Moore,1,0,5.0961,32,0,1,1,32,34,9.51319,5.59097,
Seth Johnson,1,0,5.14229,24,0,1,1,24,19,7.23645,4.19905,
Ryan Cusick,1,0,4.99246,15,0,1,1,15,12,7.36381,4.8276,
Roddery Muñoz,1,0,4.61713,26,0,1,1,26,23,7.89195,3.80028,
Elvis Alvarado,2,0,4.52887,28,0,1,1,28,26,8.37781,4.46588,
Kyle Leahy,3,0,4.27143,56,0,10,10,56,44,7.00487,3.26813,
Tyler Zuber,2,0,4.83008,33,0,1,1,33,31,8.48185,4.31818,
Victor Mederos,1,0,4.95247,26,0,1,1,26,20,6.96585,3.99217,
Kaleb Ort,3,0,4.24344,62,0,13,13,62,64,9.22106,3.70607,
Cole Henry,1,0,4.82065,40,0,1,1,40,35,7.84782,4.14884,
Amos Willingham,3,0,4.4883,44,0,1,1,44,38,7.69314,3.38712,
Casey Legumina,2,0,4.60667,34,0,1,1,34,29,7.73098,3.22243,
Spencer Bivens,2,0,4.31698,40,0,1,1,40,30,6.7603,3.03049,
Luarbert Arias,3,0,4.58797,44,0,1,1,44,39,8.00945,3.43072,
Lake Bachar,3,0,4.5098,56,0,9,9,56,51,8.18779,3.55686,
Eduardo Salazar,2,0,4.47335,50,0,4,4,50,37,6.61311,3.62268,
Steven Wilson,1,0,5.05592,32,0,1,1,32,31,8.79623,4.66872,
Dylan Coleman,1,0,4.57018,30,0,1,1,30,31,9.29049,5.78892,
Tanner Rainey,1,0,4.94358,42,0,1,1,42,38,8.14094,4.5371,
Michael Mercado,2,0,4.97265,40,0,1,1,40,35,7.93908,3.93372,
Grant Holman,3,0,4.22785,60,0,12,12,60,55,8.3013,3.70617,
Lucas Sims,3,0,4.48534,58,1,11,12,58,60,9.30001,4.81271,
Lou Trivino,4,0,4.35351,56,0,10,10,56,53,8.4788,3.7704,
Ryan Zeferjahn,3,0,4.62389,61,1,12,13,61,61,8.9569,4.40267,
Will Smith,1,0,4.65662,30,0,0,0,30,26,7.78682,3.3736,
Evan Justice,2,0,5.35376,46,0,1,1,46,44,8.6355,6.07644,
Bryce Jarvis,2,0,4.4286,50,0,4,4,50,40,7.11326,4.05234,
Noah Murdock,2,0,4.71414,56,0,7,7,56,47,7.55439,5.01501,
Luis Mey,2,0,5.69569,42,0,1,1,42,37,7.89038,6.14574,
Adam Cimber,1,0,4.72634,28,0,0,0,28,20,6.31723,3.01583,
Hunter Strickland,1,0,4.69708,35,0,0,0,35,29,7.51544,3.80691,
Daniel Bard,2,0,4.75833,34,0,0,0,34,32,8.54533,5.17825,
Luis Peralta,3,0,4.86207,61,2,12,14,61,60,8.91536,4.8541,
